experiment,role,label,N,RMSE,MAE,Bias,R,R2corr,R2true,training_stations,p,k
raw_2024,baseline,Raw 2024,1031,7.860739519101785,5.261081340440376,-2.7295830179280616,0.5475630254755128,0.2998252668678971,-0.3262049957249537,,,
official_2015_Active1_to_2024,reference,Official 2015 Active=1,1031,5.814339172280538,3.518485476928585,1.7797326383405698,0.7794081595600383,0.6074770791887661,0.2744212195387985,Active=1,0.3,13
matched_2015_to_2024,temporal_gap,2015 matched → 2024,1031,5.3457062100787205,3.2671374122992405,1.7520318439730618,0.8044041928810626,0.6470661055246337,0.3866702611947888,1030,0.3,13
matched_2022_to_2024,temporal_gap,2022 → 2024,1031,2.847897471747177,1.8267767241470565,0.8380168972061631,0.9227715824238424,0.8515073933290024,0.8259265451103729,1030,0.3,13
matched_2023_to_2024,temporal_gap,2023 → 2024,1031,2.2935775278658017,1.4573113014901529,0.8456975744811225,0.953511114223356,0.9091834449474658,0.8870956438439936,1030,0.3,13
