Station,Country,Longitude,Latitude,Average,Model_Raw,Residual_Raw,Model_matched_2015_to_2024,Residual_matched_2015_to_2024,Model_matched_2022_to_2024,Residual_matched_2022_to_2024,Model_matched_2023_to_2024,Residual_matched_2023_to_2024
AD0942A,AD,1.5391,42.5097,25.784,0.34170418977737427,-25.442295810222625,25.82311248779297,0.03911248779296983,24.219308853149414,-1.5646911468505849,23.487546920776367,-2.2964530792236317
AT0ENK1,AT,13.6709,48.3916,7.604,5.44200325012207,-2.16199674987793,6.608606338500977,-0.9953936614990235,8.333688735961914,0.729688735961914,8.011149406433105,0.4071494064331054
AT0KLH1,AT,15.9563,46.7672,6.013,4.4265570640563965,-1.5864429359436034,5.587086200714111,-0.4259137992858886,7.107791423797607,1.0947914237976075,5.540421962738037,-0.4725780372619628
AT0PIL1,AT,15.936,48.7212,5.993,3.053464412689209,-2.9395355873107913,6.425856590270996,0.43285659027099577,7.068634510040283,1.0756345100402829,5.771892070770264,-0.22110792922973665
AT0VOR1,AT,12.9746,46.6777,2.088,1.7449828386306763,-0.3430171613693238,2.5902161598205566,0.5022161598205566,3.4042015075683594,1.3162015075683593,2.4262213706970215,0.3382213706970214
AT0ZOE2,AT,14.4409,47.8383,1.995,1.9168672561645508,-0.07813274383544933,2.582214593887329,0.587214593887329,3.179955005645752,1.1849550056457518,2.8074967861175537,0.8124967861175536
AT10003,AT,17.0703,48.1092,9.942,10.940916061401367,0.998916061401367,10.45926570892334,0.5172657089233397,11.213193893432617,1.271193893432617,10.30844783782959,0.3664478378295897
AT2KA71,AT,14.2991,46.6266,15.109,8.463170051574707,-6.645829948425293,15.802522659301758,0.6935226593017578,18.22622299194336,3.1172229919433594,15.525449752807617,0.4164497528076172
AT2SP10,AT,13.1945,46.935,8.5,1.1640304327011108,-7.335969567298889,11.237825393676758,2.737825393676758,13.888330459594727,5.388330459594727,8.806317329406738,0.3063173294067383
AT2SP18,AT,13.4939,46.8014,13.902,4.810086727142334,-9.091913272857665,18.281578063964844,4.3795780639648445,23.222322463989258,9.320322463989259,15.895027160644531,1.993027160644532
