experiment,role,Country,N,RMSE,MAE,Bias,R,R2corr,R2true
matched_2015_to_2024,temporal_gap,AD,1,0.03911248779296983,0.03911248779296983,0.03911248779296983,,,
matched_2015_to_2024,temporal_gap,AT,80,3.3555971360045787,2.557236461997032,-1.3654271130800246,0.7584705949049114,0.5752776433354102,0.4776671837983175
matched_2015_to_2024,temporal_gap,BE,29,2.4633884194277607,2.007026805417291,1.7094057559967042,0.9528782643528293,0.9079769866760604,0.7980270694801619
matched_2015_to_2024,temporal_gap,BG,10,8.885460286544426,7.803589192962647,-0.035153896331787136,0.31367992954830937,0.09839509820143233,-0.7648518866022285
matched_2015_to_2024,temporal_gap,CH,16,1.9260799988452437,1.423728790521622,-0.49135137391090405,0.9272373462368906,0.8597690962564313,0.8493725616446395
matched_2015_to_2024,temporal_gap,CY,1,0.9372277755737306,0.9372277755737306,-0.9372277755737306,,,
matched_2015_to_2024,temporal_gap,CZ,36,2.9783271895503085,2.0350249102910363,1.0829532605277168,0.8405343756516082,0.7064980366520387,0.5895394240222089
matched_2015_to_2024,temporal_gap,DE,220,1.5130745894322735,1.1044284264824606,0.4890098239725286,0.955346196977003,0.9126863560784225,0.8980492875309001
matched_2015_to_2024,temporal_gap,DK,1,1.4388777313232426,1.4388777313232426,1.4388777313232426,,,
matched_2015_to_2024,temporal_gap,EE,5,0.8088348122083062,0.6089267568588256,0.2722441900253295,0.9653107302023549,0.9318248058438037,0.9212737399641957
matched_2015_to_2024,temporal_gap,ES,124,9.459313947029136,6.635825513532085,5.967698230374244,0.8968559111146108,0.8043505253012188,-0.7474901386506725
matched_2015_to_2024,temporal_gap,FI,2,0.20749250691139445,0.20437330365180967,0.20437330365180967,1.0,1.0,-10.570314545653073
matched_2015_to_2024,temporal_gap,FR,136,3.3438608284468363,2.4092935399939033,1.4315402707422482,0.8623234420657621,0.7436017187361437,0.520340922482795
matched_2015_to_2024,temporal_gap,GR,3,5.849112794618682,5.368624500274659,-5.368624500274659,0.9613045556632457,0.9241064487389102,0.21066781111873445
matched_2015_to_2024,temporal_gap,HR,1,2.5617013549804675,2.5617013549804675,-2.5617013549804675,,,
