p,k,RMSE,MAE,MBE,R2
0.1,2,2.8986260266960913,2.0729577679964417,-0.460472180627347,0.7963233172532238
0.1,3,2.8456666384463474,2.0918663228576087,-0.3833947687682923,0.8036978830814312
0.1,4,2.705830860158016,2.079536825672813,-0.2904792126909611,0.8225163998621902
0.1,5,2.696726849432641,2.0044633253045823,-0.3688983073290932,0.823708709662293
0.1,6,2.7362348467510023,2.004894163698824,-0.3072520750726155,0.8185054128869558
0.1,7,2.834640922446894,2.013977610012603,-0.2005609581772139,0.8052161061683443
0.1,8,2.921983791470881,2.065797445744693,-0.2365918759523895,0.7930275486942172
0.1,9,2.9136730501669965,2.0893204997903174,-0.2190941174648109,0.7942032214328242
0.1,10,2.8900961443495508,2.05148978464176,-0.2224454973801396,0.7975202856537573
0.1,11,2.7672791646130173,1.9914528444404271,-0.1181575298079396,0.8143637081352582
0.1,12,2.7846656982253006,2.0216331837427988,-0.1207060445167151,0.8120237122853652
0.1,13,2.7872163103193306,2.026371900060254,-0.1427038353970014,0.811679201149865
0.1,14,2.811150659453024,2.043159596519848,-0.1813618244711969,0.8084310223840365
0.1,15,2.839990991233029,2.0676380116036155,-0.2332999320704786,0.804480146525067
0.1,16,2.8674763513985204,2.079305100119705,-0.2567494772242361,0.8006773612311335
0.1,17,2.946357700550283,2.124150979056059,-0.2817688043321898,0.7895602001213459
0.1,18,2.936567189533764,2.124375404960508,-0.2945737027569579,0.7909564257396252
0.1,19,2.9758507363570073,2.157074139301968,-0.3038787962204026,0.7853261099278206
0.1,20,2.979654997664284,2.182003290669532,-0.3373922032406776,0.7847768904568082
0.1,21,2.9907590423745205,2.1910646527377065,-0.3369650018817023,0.7831697916081725
0.1,22,3.0194304918314496,2.2095550664683694,-0.3620955390740765,0.7789925003706769
0.1,23,3.0588845292771785,2.235454291412234,-0.3692125843308282,0.7731790817786939
0.1,24,3.06950641402348,2.227165051146942,-0.3824081839745193,0.771601089095649
0.1,25,3.0840575834483217,2.228716974009427,-0.399437572879816,0.7694304803059943
