Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
ES1443A,ES,-3.6361,42.3361,5.214,6.680422,10.755551,5.5415513381958
ES1543A,ES,-0.1694,40.735,6.671,6.3934827,6.505944,-0.1650562248229983
ES1670A,ES,-1.2814,39.5586,4.985,7.7395563,11.990715,7.005715026855468
ES1671A,ES,-0.8319,39.7081,5.159,7.878726,12.137601,6.978600898742676
ES1802A,ES,-3.4679,40.909,6.801,6.028611,6.9516306,0.15063059234619125
ES1809A,ES,-3.6803,40.1852,10.953,8.781483,11.520714,0.5677138061523443
ES1810A,ES,-4.2752,40.2479,9.023,7.8070164,12.731772,3.7087724227905277
ES1818A,ES,-4.0208,39.8681,7.772,8.165975,9.410807,1.6388066558837888
ES1838A,ES,-3.5033,40.5997,10.363,8.897202,7.105336,-3.25766381072998
ES1868A,ES,-8.5591,42.876,7.268,9.322346,5.3762984,-1.8917015724182127
ES1885A,ES,-0.3364,39.4803,11.26,15.679724,10.154138,-1.1058623886108396
ES1890A,ES,-3.8337,40.3419,8.365,11.109214,8.68155,0.3165500259399412
ES1914A,ES,-0.8033,38.4547,8.027,8.702709,9.541505,1.5145048599243172
ES1937A,ES,-3.6867,40.3981,9.331,12.297351,12.466538,3.1355384292602544
ES1957A,ES,-8.4092,43.3828,15.555,10.234208,13.512349,-2.042650871276855
ES1974A,ES,-5.6707,43.5166,9.872,14.966269,10.208529,0.33652947235107433
ES2054A,ES,-5.9583,43.5705,7.08,14.092816,10.215778,3.135778350830078
FI00208,FI,24.6849,60.3144,3.732,4.5537105,5.579217,1.847216957092285
FR03043,FR,5.3947,43.3053,10.727,10.374754,12.614697,1.887697456359863
FR04002,FR,2.2944,48.9303,10.836,11.714825,11.357424,0.5214237823486325
FR04024,FR,2.4447,48.9908,10.746,11.623487,10.580051,-0.16594857788085982
FR04034,FR,2.3758,48.7759,10.473,11.775026,11.582487,1.1094871063232414
FR04048,FR,2.3439,49.1003,8.766,9.970983,10.209405,1.4434049453735351
FR04066,FR,2.2369,48.3642,8.617,9.296742,9.553192,0.9361921386718741
FR04156,FR,2.4525,48.9025,10.339,11.623487,10.580051,0.2410514221191402
FR04328,FR,2.6453,48.3547,7.265,8.534066,7.7731924,0.5081924057006839
FR05087,FR,0.7587,49.4984,10.144,10.069271,8.991013,-1.1529874267578126
FR07004,FR,3.1138,45.7973,9.12,8.3347435,9.916453,0.7964533615112313
FR08016,FR,3.8868,43.5915,9.382,8.362961,14.387381,5.005380599975586
FR08614,FR,4.3744,43.8344,9.359,8.583155,13.198162,3.839162078857422
FR08714,FR,2.9005,42.6955,8.495,8.992097,9.739138,1.2441376495361336
FR09103,FR,0.1672,45.6474,9.277,8.17497,9.601937,0.3249372940063484
FR09404,FR,0.3456,46.584,9.113,8.395665,11.607962,2.4949616546630864
FR10004,FR,2.42,51.0486,11.126,12.213135,11.658224,0.5322241058349615
FR10016,FR,1.8431,50.9473,9.276,11.386781,10.1401615,0.8641615142822268
FR12030,FR,1.444,43.5873,9.532,8.566079,11.227561,1.6955609970092773
FR14008,FR,4.63,49.9078,7.989,8.499323,7.3378496,-0.6511503829956053
FR15043,FR,5.7356,45.1619,11.432,11.781273,13.819996,2.3879958801269527
FR16066,FR,7.3091,47.7374,11.062,13.62461,11.82984,0.767839706420899
FR18042,FR,3.284,49.8513,9.623,11.606013,10.490332,0.8673316497802741
FR18043,FR,2.4744,49.2596,10.371,10.113888,9.713768,-0.6572319946289067
FR19012,FR,-4.4866,48.3862,6.689,8.904725,9.38401,2.695010314941406
FR19033,FR,-2.764,47.6489,8.857,8.544265,6.975239,-1.8817611999511712
FR20062,FR,4.8542,45.7577,11.424,13.55876,14.290595,2.8665950546264654
FR21001,FR,-0.3911,49.1922,8.681,9.892808,9.392462,0.7114617767333993
FR21050,FR,-0.4583,48.645,7.41,8.619326,7.379777,-0.030223045349121236
FR22054,FR,6.9109,49.1874,8.451,10.726615,10.174649,1.7236492385864253
FR23110,FR,-2.2502,47.2641,8.72,9.12261,9.26446,0.5444596099853509
FR23120,FR,-0.5559,47.4685,10.041,9.128158,10.916782,0.8757823791503903
FR23182,FR,0.2214,47.9711,9.047,8.663978,11.141715,2.0947150497436517
FR23188,FR,-1.5374,47.2222,9.669,9.054418,12.078858,2.409858375549316
FR24018,FR,5.7861,43.8358,9.313,6.8511844,8.786003,-0.5269968872070319
FR24036,FR,7.2863,43.7021,10.447,10.422335,13.619424,3.1724238662719735
FR24039,FR,5.7118,43.9335,6.634,6.2715697,8.186046,1.5520456466674801
FR25036,FR,1.0938,49.4424,10.975,11.059146,11.545961,0.5709613800048832
FR26005,FR,5.0659,47.3074,7.416,9.742975,10.675551,3.2595514144897457
FR26019,FR,3.5762,47.8006,7.457,8.790785,9.887789,2.430788772583008
FR29424,FR,4.3954,45.4201,9.122,8.271143,7.103324,-2.0186760635375975
FR29426,FR,4.515,45.4753,9.388,7.571391,11.44159,2.0535903091430665
FR30033,FR,5.7856,49.0658,8.556,10.366573,10.379538,1.8235375823974618
FR31007,FR,-0.5158,44.9003,7.205,8.684232,10.582301,3.377301139831543
FR31013,FR,-0.3915,43.3108,9.693,9.468808,11.435002,1.7420023269653324
FR33101,FR,5.9283,45.5647,11.05,12.522758,11.977435,0.927435111999511
FR34024,FR,0.6538,47.3441,9.124,8.7464485,11.411486,2.2874856719970698
FR34038,FR,2.6101,46.8147,7.642,7.9304867,10.19192,2.5499202804565426
FR36002,FR,4.8935,44.9335,11.287,9.883421,14.829491,3.542490661621093
FR36021,FR,5.279,44.5694,5.205,6.504995,6.1904645,0.9854644966125488
FR41024,FR,9.19,42.236,5.421,6.682757,8.770199,3.349198822021484
FR82006,FR,6.0154,47.2474,8.598,8.859177,12.590953,3.9929528732299797
FR82010,FR,6.794,47.5103,8.885,11.197351,11.391606,2.5066063308715822
FR82050,FR,5.5566,46.6713,7.269,8.332621,10.531044,3.262044006347656
HR0010A,HR,17.9951,45.1595,25.673,22.310368,30.219664,4.546663619995119
HR0021A,HR,15.9784,45.8344,14.372,16.193577,17.91939,3.5473897247314454
IE003AP,IE,-6.3053,53.3903,7.259,7.790976,7.9361167,0.6771166954040524
IE0106A,IE,-6.2279,53.3682,8.886,8.853417,8.803447,-0.08255323028564376
IE0110A,IE,-8.4571,51.8819,5.409,7.5543723,8.0755,2.666499534606934
IE0145A,IE,-9.0127,53.7039,5.367,5.6598816,6.438494,1.0714942054748535
IT0499A,IT,10.8591,46.6195,13.223,4.4522467,17.100569,3.877568771362304
IT0591A,IT,11.0394,45.8924,14.243,13.689442,15.021701,0.7787008590698239
IT0703A,IT,11.4539,46.0518,15.947,8.96563,18.818367,2.871367004394532
IT0804A,IT,10.3317,44.7936,15.778,20.34144,20.921986,5.143985626220703
IT0858A,IT,8.9915,44.3949,11.188,16.008598,12.235644,1.047644340515136
IT0862A,IT,11.2875,43.7867,11.926,13.966027,14.395074,2.469073890686035
IT0892A,IT,11.355,44.4833,14.227,17.217392,16.317667,2.0906670074462887
IT0903A,IT,10.7339,44.5161,17.196,17.55287,19.5615,2.3655005493164047
IT0940A,IT,10.6647,44.6908,18.053,20.908329,19.508043,1.4550432891845695
IT0950A,IT,11.8889,43.4611,13.234,11.337023,14.768787,1.5347873840332031
IT0956A,IT,12.5687,41.8577,16.948,15.67769,19.608326,2.6603259582519527
IT0957A,IT,12.6585,41.9295,13.259,14.877981,17.816189,4.557188812255859
IT0963A,IT,12.2622,45.4992,22.569,29.395483,23.444315,0.87531495666504
IT0966A,IT,13.2406,46.0661,14.011,13.029927,15.83901,1.8280102386474617
IT0983A,IT,7.3242,45.7358,10.861,8.033423,15.495094,4.634094299316406
IT0989A,IT,12.9621,42.5726,7.616,7.0797815,9.952622,2.3366224136352542
IT0992A,IT,13.6743,41.6692,11.053,9.662285,13.340206,2.2872061462402336
IT1037A,IT,11.1262,46.0629,14.906,15.718185,22.07135,7.165350097656249
IT1043A,IT,12.5533,44.0625,16.258,14.022127,21.505892,5.247891799926759
IT1048A,IT,12.0489,44.2192,13.676,16.154814,14.876974,1.2009741058349608
IT1065A,IT,11.7367,45.7608,15.237,21.149368,22.232323,6.995322692871094
IT1110A,IT,10.4017,43.7389,12.601,15.555226,17.5831,4.982099365234374
IT1128A,IT,7.658,45.1546,21.232,20.758501,23.010576,1.778576248168946
IT1177A,IT,11.5397,45.5606,22.989,30.717697,24.839886,1.850885711669921
IT1179A,IT,11.9611,44.8397,14.625,20.52985,16.32456,1.6995601654052734
IT1184A,IT,12.9466,41.5314,11.752,12.049865,14.272799,2.520798538208007
IT1186A,IT,10.245,43.8839,14.421,16.152208,23.801966,9.380965713500977
IT1187A,IT,10.5739,43.8408,19.955,15.242659,17.158356,-2.7966442871093733
IT1204A,IT,12.2256,44.42,16.071,26.225512,16.652214,0.5812140502929672
IT1222A,IT,12.5917,45.6303,22.266,20.565706,17.394033,-4.871966567993162
IT1328A,IT,12.3081,45.8906,18.271,20.892792,19.865389,1.594388870239257
IT1388A,IT,10.6919,45.4108,20.752,25.95193,22.30039,1.5483902435302745
IT1451A,IT,11.6394,44.6622,16.627,22.023094,15.058654,-1.5683461685180653
IT1453A,IT,11.8419,45.3719,22.659,28.323889,24.4747,1.815700927734376
IT1510A,IT,8.5655,45.9303,13.484,11.457896,14.175476,0.69147607421875
IT1529A,IT,7.5382,44.3818,14.68,13.53066,15.369996,0.6899960708618167
IT1532A,IT,8.2835,45.7132,15.096,7.417132,13.20884,-1.8871596298217774
IT1536A,IT,9.8439,44.116,11.299,11.122623,11.677407,0.37840726470947317
IT1553A,IT,11.0069,43.9161,17.153,12.862581,22.312449,5.159448501586915
IT1557A,IT,10.3217,43.52,7.834,13.709923,10.645928,2.8119283828735355
IT1590A,IT,12.2386,45.6725,19.547,24.023954,23.331125,3.7841252593994135
IT1593A,IT,11.1192,42.7786,10.062,9.513155,10.827034,0.7650339965820319
IT1594A,IT,12.2169,46.1414,13.573,15.124555,18.41358,4.840579940795898
IT1596A,IT,12.5103,45.8369,19.313,19.37822,20.898304,1.5853039855957043
IT1619A,IT,11.9058,46.0308,15.731,12.774442,18.746735,3.015734619140625
IT1650A,IT,9.0242,45.6269,20.918,26.505844,23.993738,3.0757381744384773
IT1654A,IT,11.0919,43.8728,15.803,17.963663,19.93927,4.136270019531249
IT1692A,IT,9.2358,45.4783,20.552,31.073166,25.574131,5.022131011962891
IT1696A,IT,11.3401,46.4348,12.221,12.158028,12.5598,0.3388001480102538
IT1737A,IT,10.2194,45.5153,22.69,24.64318,23.86232,1.1723199462890612
IT1739A,IT,10.0458,45.1422,24.519,33.721638,28.668524,4.14952378845215
IT1771A,IT,10.9063,44.6506,18.45,23.699833,21.34053,2.890530395507813
IT1836A,IT,12.4476,41.9064,12.552,14.954489,16.637316,4.085315750122071
IT1876A,IT,9.4667,45.6833,17.705,25.25613,19.540125,1.8351248931884783
IT1878A,IT,8.4024,45.3189,16.942,21.294716,21.340475,4.398475082397461
IT1883A,IT,8.4854,44.3154,9.195,14.836532,13.93126,4.736260108947754
IT1906A,IT,12.4754,41.894,14.225,16.057684,15.827664,1.6026643753051761
IT1908A,IT,12.4025,44.0958,16.574,14.028439,17.716824,1.1428235778808578
IT1911A,IT,10.2889,44.6575,11.774,15.198556,14.870797,3.0967971572875985
IT1914A,IT,10.6639,44.8731,17.772,26.000156,20.083986,2.3119862823486343
IT1915A,IT,12.6275,43.9328,11.752,12.951726,15.805735,4.053734634399413
IT1918A,IT,11.6497,44.825,16.283,23.29334,15.912804,-0.3701963500976575
IT1919A,IT,11.9422,44.7417,17.054,20.785467,15.04032,-2.0136796035766586
IT1921A,IT,11.1779,44.9278,18.357,26.394197,16.343632,-2.0133682556152337
IT1924A,IT,10.0192,44.9894,18.163,24.18114,26.325508,8.162508117675781
IT1947A,IT,9.0089,39.0667,8.148,19.912277,13.61849,5.470490219116211
IT1948A,IT,8.3103,44.808,16.575,21.004578,17.249512,0.6745117187500007
IT1965A,IT,9.4953,45.3028,22.554,34.46298,22.289738,-0.26426229858398287
IT1975A,IT,9.6692,45.0383,22.22,23.77395,20.149734,-2.0702655029296864
IT1993A,IT,9.1364,39.2606,6.241,11.619351,9.448128,3.2071277465820316
IT2009A,IT,8.5761,40.7244,6.156,9.786261,6.9123693,0.756369251251221
IT2013A,IT,13.349,41.6396,17.491,13.549699,26.214691,8.723691162109375
IT2023A,IT,11.8764,42.7366,9.658,8.917765,9.940016,0.2820157928466802
IT2032A,IT,11.1419,43.4728,11.752,11.0883465,12.356048,0.6040476303100579
IT2073A,IT,10.7914,44.5394,17.025,17.55287,19.5615,2.5365005493164077
IT2097A,IT,10.9261,44.15,5.548,9.190053,6.316092,0.7680920143127441
IT2101A,IT,7.8375,45.0028,21.907,25.347088,19.713518,-2.1934818572998047
IT2104A,IT,8.1598,45.6642,10.91,9.382307,11.48676,0.5767601394653319
IT2131A,IT,13.4864,45.7316,13.384,15.5473,15.109483,1.7254827651977536
LU0101A,LU,6.1376,49.5977,6.671,11.456296,9.018381,2.347381118774414
LU0102A,LU,5.9769,49.505,7.274,11.553299,9.706575,2.432575393676758
LU0105A,LU,6.3053,49.7223,7.065,9.804418,8.380783,1.315783081054687
NL00014,NL,4.8662,52.3597,9.651,13.8399315,10.6481695,0.99716951751709
NL00016,NL,4.8702,52.394,8.386,13.8399315,10.6481695,2.2621695175170906
NL00230,NL,5.1485,51.5184,10.128,13.708106,10.2067,0.07870032501220692
NL00444,NL,4.5108,52.2966,9.275,13.111518,8.522115,-0.7528852462768558
NL00485,NL,4.3552,51.8674,9.164,14.225233,10.670346,1.506346260070801
