Country,RMSE_Raw,RMSE_Corrected,MAE_Raw,MAE_Corrected,Bias_Raw,Bias_Corrected,R2_Raw,R2_Corrected,N
CH,4.371419148637336,0.38108086164184507,4.300631038665772,0.3563516063690191,4.300631038665772,0.3563516063690191,1.0,1.0,2
SE,0.8455495933851092,1.0101399008386314,0.7221366672515869,0.8317103905677795,0.7164756031036376,0.8013612599372862,0.9896843947895982,0.9413442309564836,4
IE,1.1694991301364879,1.5474728014716004,0.8026839656829834,1.2030580205917358,0.8026839656829834,1.2030580205917358,0.4346580642631987,0.22227606353187537,4
FI,0.5071685523986815,1.5510199279785155,0.5071685523986815,1.5510199279785155,0.5071685523986815,1.5510199279785155,,,1
LU,2.957455670755355,1.7447122998001388,2.828399083455404,1.458195561726888,2.828399083455404,1.291401924133301,0.8996458643646655,0.04260686435758273,3
DE,3.1012358552778037,1.9551662320558119,2.6008764546860093,1.6973636168990023,2.5054215772318282,1.6535690160795695,0.1875218909961617,0.6451789896061674,86
NL,4.463884986015855,1.96199157466298,4.365032474864614,1.7807052674727009,4.365032474864614,1.6831018461747602,0.05680970180626141,0.06442540988397552,11
AT,2.7832140982283513,2.355258546364807,2.4172722589111326,2.1101950341796876,2.209941282348633,2.0867243481445312,0.4490389598198592,0.7707549101325761,25
ES,2.4554241720731937,2.355686328324094,2.029768781315197,2.0877910946932703,0.03687498560818734,0.15855786791714738,0.2284920029856521,0.20515676841257355,22
FR,1.9777537514308665,2.5150271691439414,1.546927265815015,2.129737789585905,1.1184739808856317,1.9683201280269984,0.3435295378998315,0.37212328389056126,53
BE,4.931162402605905,2.614598943924923,4.855710239283244,2.4443110959370933,4.855710239283244,2.3108239840189615,0.8142949369636712,0.6400350903198405,30
EE,1.8118841312144378,2.80828191339033,1.526266860961914,2.4001385599772136,1.526266860961914,2.3195940335591634,0.0230278220618927,0.0949999316935942,6
NO,3.062271529222825,3.073134623954968,2.5493811507225033,2.319816874504089,0.6736606183052063,1.1310927095413208,0.21715037138972756,0.3706791251248352,4
CY,2.063927908759894,3.5964433968816243,1.9130381603240973,3.384335115432739,-1.198724195480347,3.384335115432739,0.9748417627553758,0.8788916922558593,4
IT,6.399746736145538,4.258227137493216,4.988272235966936,3.425485270922698,3.6000848492489594,3.0692661816560767,0.5430301438324519,0.6596851675272652,79
CZ,1.5275707323297132,4.369157164789694,1.1244560976895415,3.1544145868474787,0.42789998141202035,2.308099327087402,0.6736485767542136,0.6705421370391896,22
PT,7.966851562341362,4.639167629974116,6.260094576517741,4.174569113413493,6.260094576517741,3.6919086112976074,0.2237835276665352,0.1283919241821148,6
SI,6.0734826049804695,5.059604736328126,6.0734826049804695,5.059604736328126,6.0734826049804695,5.059604736328126,,,1
HR,2.61661199800787,6.55654711880885,2.276920913696289,6.459395416259765,1.2892980651855463,6.459395416259765,1.0,1.0,2
RO,0.40981835937500044,7.140869430541992,0.40981835937500044,7.140869430541992,-0.40981835937500044,7.140869430541992,,,1
PL,2.6857132883393198,9.389724146178937,2.188742393344057,7.489368089114918,-0.022908594468060654,7.419195950826008,0.23654283113407598,0.3650263405740045,51
TR,8.079667275902828,10.812054683538104,6.3545700407028205,9.783687702178955,5.766387825965881,8.84289479827881,0.398374804204647,0.40826458120666104,8
BG,3.721099643502488,16.63855232454936,2.7389505844116213,14.097613121032715,-2.7389505844116213,13.89013018798828,0.00920652077813792,0.002115096689232568,4
