Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AD0942A,AD,1.5391,42.5097,25.784,0.3417042,25.998644,0.2146438751220714
AT0ENK1,AT,13.6709,48.3916,7.604,5.4420033,6.551383,-1.0526169815063477
AT0KLH1,AT,15.9563,46.7672,6.013,4.426557,5.542667,-0.4703330879211425
AT0PIL1,AT,15.936,48.7212,5.993,3.0534644,6.4244704,0.4314704246520993
AT0VOR1,AT,12.9746,46.6777,2.088,1.7449828,7.847552,5.759551822662353
AT0ZOE2,AT,14.4409,47.8383,1.995,1.9168673,3.4600408,1.465040807723999
AT10003,AT,17.0703,48.1092,9.942,10.940916,10.417171,0.4751705245971678
AT2KA71,AT,14.2991,46.6266,15.109,8.46317,15.821481,0.7124807510375977
AT2SP10,AT,13.1945,46.935,8.5,1.1640304,11.211907,2.711907386779785
AT2SP18,AT,13.4939,46.8014,13.902,4.8100867,33.938004,20.03600354003906
AT2WO35,AT,14.8917,46.7083,6.664,5.2936893,7.5224404,0.8584404335021976
AT30065,AT,16.1434,48.1955,11.094,4.4572206,8.812548,-2.281452316284179
AT30101,AT,14.8788,48.1199,14.158,7.0150237,10.94835,-3.2096500473022456
AT30201,AT,16.2057,47.9592,8.165,6.691677,5.560718,-2.6042819404602042
AT30202,AT,15.9189,48.1051,5.45,5.3280334,3.6642694,-1.78573055267334
AT30301,AT,16.9579,48.1442,8.294,5.437444,9.428333,1.1343332824707026
AT30302,AT,16.6753,48.05,7.077,4.703233,6.305156,-0.7718437690734863
AT30401,AT,16.7294,48.3347,7.131,3.9194455,7.576445,0.44544510269165016
AT30403,AT,16.522,48.3929,8.745,4.6089497,7.192728,-1.5522719573974602
AT30407,AT,16.6363,48.2307,7.45,4.2241592,8.002941,0.5529411315917967
AT30502,AT,15.0467,48.8786,4.714,2.6802557,5.1673317,0.4533316955566402
AT30601,AT,16.3139,48.3025,9.253,7.705582,9.235107,-0.017892578125000114
AT31204,AT,15.205,48.2128,11.969,5.1046634,8.254441,-3.7145587387084955
AT31401,AT,16.301,48.0856,12.837,8.203087,9.627729,-3.209270584106445
AT31502,AT,15.86,47.6703,3.256,2.2994409,3.8184955,0.5624955120086672
AT31701,AT,15.5455,48.3704,5.734,3.966391,7.130352,1.396352020263672
AT31901,AT,16.0625,48.3294,12.357,5.876043,11.079892,-1.2771078414916985
AT32301,AT,15.6325,48.2116,13.787,6.533115,10.655419,-3.1315806503295907
AT32401,AT,16.255,47.8142,12.142,5.457814,8.4118395,-3.7301605148315424
AT32501,AT,15.6192,48.4086,11.977,4.158846,9.98524,-1.9917600173950198
AT32604,AT,14.7723,48.0451,9.003,3.9050426,7.897201,-1.1057989387512208
AT32701,AT,16.4759,48.1456,13.841,12.688911,14.833335,0.992334922790528
AT4S108,AT,14.5747,48.5311,3.072,3.1558964,4.6506586,1.57865860748291
AT4S125,AT,13.6322,47.7161,8.744,2.5726047,5.8425016,-2.9014983596801756
AT4S184,AT,14.2975,48.3061,16.853,6.3843384,7.820864,-9.03213579940796
AT4S404,AT,14.2376,48.2253,14.952,11.426814,12.272524,-2.679476119995117
AT4S406,AT,14.0366,48.1649,16.474,8.434121,11.032667,-5.4413328399658205
AT4S409,AT,14.4424,48.0493,11.062,4.7686725,8.780766,-2.2812344665527338
AT4S416,AT,14.3148,48.2733,21.374,16.541904,19.101248,-2.272752212524413
AT51066,AT,13.0433,47.8056,14.935,10.439419,19.182169,4.247168960571289
AT52100,AT,13.1051,47.6668,7.158,6.9231467,17.128117,9.970116607666014
AT53055,AT,13.0158,47.9367,5.234,5.904692,5.3678803,0.13388034439086915
AT54057,AT,13.2056,47.3514,14.858,1.9820765,10.247462,-4.610537727355958
AT55032,AT,13.808,47.1257,10.618,1.6485794,15.237673,4.6196728057861325
AT56072,AT,12.7951,47.3266,13.119,2.1595018,14.788554,1.6695541915893557
AT60106,AT,15.0867,47.0633,15.249,3.0625832,1.5041763,-13.744823740959168
AT60107,AT,15.1528,47.0447,11.65,3.7893214,6.6644945,-4.985505485534668
AT60118,AT,14.6767,47.1781,8.676,2.6196923,7.5242324,-1.1517676124572755
AT60138,AT,15.4151,47.0944,14.281,11.958676,13.973462,-0.3075378952026373
AT60139,AT,15.4044,47.0694,18.258,11.958676,13.973462,-4.284537895202636
AT60142,AT,15.0741,47.3753,12.176,9.144306,18.886293,6.710293411254883
AT60145,AT,15.2903,47.4458,12.993,5.3046045,13.809796,0.816796333312988
AT60170,AT,15.4331,47.0417,20.585,11.958676,13.973462,-6.611537895202638
AT60172,AT,15.4319,47.0692,18.737,11.958676,13.973462,-4.763537895202635
AT60179,AT,15.9719,47.2829,12.847,4.5813494,10.388338,-2.4586619110107417
AT60180,AT,15.2533,47.4094,11.271,5.3046045,13.809796,2.5387963333129875
AT60194,AT,15.6731,47.6047,11.398,1.6462896,2.8121645,-8.585835454940796
AT60195,AT,15.2128,46.8139,9.325,3.6830988,4.5573626,-4.76763744354248
AT60197,AT,15.5406,46.7783,14.517,7.498741,11.008659,-3.5083406372070307
AT60198,AT,16.079,47.0474,11.114,5.707343,10.495472,-0.6185280456542976
AT72110,AT,11.3924,47.2626,20.801,8.737635,11.514373,-9.28662717437744
AT72113,AT,11.3747,47.2699,11.555,8.737635,11.514373,-0.04062717437744112
AT72227,AT,11.5125,47.2781,21.154,5.364079,14.447817,-6.706183151245117
AT72530,AT,12.0666,47.4886,16.375,4.634895,10.664409,-5.7105913162231445
AT72538,AT,11.91,47.4587,10.918,4.533215,7.99032,-2.9276797943115227
AT72552,AT,12.1724,47.5818,13.185,6.20454,10.631359,-2.5536408996582036
AT72710,AT,10.7441,47.4476,9.626,2.324126,9.702657,0.07665674591064509
AT72912,AT,12.766,46.8191,9.468,2.2590256,7.2227244,-2.245275562286377
AT80503,AT,9.9267,47.5292,2.968,3.2226715,3.194524,0.22652404975891116
AT900KE,AT,16.4761,48.1567,16.504,12.688911,14.833335,-1.670665077209474
AT900ZA,AT,16.3571,48.249,13.082,11.569044,13.23458,0.1525800399780266
AT90AKC,AT,16.3498,48.2191,16.054,11.569044,13.23458,-2.819419960021971
AT90FLO,AT,16.397,48.2611,17.862,11.569044,13.23458,-4.627419960021971
AT90LOB,AT,16.5256,48.1621,9.748,6.9953275,6.566687,-3.1813128929138177
AT9BELG,AT,16.3614,48.1744,19.223,12.048274,13.358244,-5.864756057739257
AT9GAUD,AT,16.3393,48.1871,18.684,12.048274,13.358244,-5.325756057739259
AT9JAEG,AT,16.2972,48.2702,7.495,6.0685945,7.8699336,0.3749336051940917
AT9KEND,AT,16.3098,48.205,15.994,11.569044,13.23458,-2.7594199600219724
AT9LIES,AT,16.3001,48.1412,14.838,12.048274,13.358244,-1.479756057739257
AT9SCHA,AT,16.3016,48.2354,10.193,11.569044,13.23458,3.0415800399780277
AT9STAD,AT,16.4583,48.2264,16.266,9.671222,13.216852,-3.0491478118896467
BETB004,BE,4.3478,50.8521,19.9,22.037868,18.927656,-0.9723438262939439
BETB006,BE,4.3744,50.8386,17.115,22.037868,18.927656,1.8126561737060563
BETB011,BE,4.2887,50.8578,13.292,14.683362,13.225183,-0.06681746673583966
BETMEU1,BE,4.3957,50.895,16.326,22.037868,18.927656,2.601656173706054
BETN016,BE,5.164,51.2337,10.273,9.747201,12.35724,2.0842397232055667
BETN027,BE,5.6067,51.1337,9.015,8.444578,10.859151,1.844150886535644
BETN029,BE,2.5823,51.0163,7.385,8.417853,11.566887,4.181886901855469
BETN035,BE,4.8376,50.9776,9.576,10.0126095,13.008595,3.432595466613769
BETN040,BE,4.2252,50.7681,8.221,11.111643,9.177559,0.9565588989257812
BETN052,BE,3.3225,50.8149,11.197,11.459516,15.727092,4.530091789245606
BETN054,BE,5.1032,50.7117,7.814,6.795945,10.763886,2.9498864517211913
BETN060,BE,3.4576,50.6167,7.768,11.837844,10.868722,3.100721961975098
BETN066,BE,6.0023,50.6289,4.354,5.267268,5.106742,0.7527419052124023
BETN070,BE,3.9397,50.4652,13.812,12.195203,17.803827,3.991827285766602
BETN073,BE,4.9884,50.5027,5.81,7.163103,7.0355477,1.2255477333068852
BETN085,BE,6.0017,50.3032,2.558,3.7828994,4.1815987,1.6235986633300783
BETN093,BE,5.2352,50.2745,5.099,4.263425,5.817081,0.7180809745788572
BETN100,BE,4.5948,50.0957,3.035,3.8520596,4.1935353,1.1585353279113768
BETN113,BE,5.593,50.027,3.538,3.0939932,3.4335885,-0.10441149520874005
BETN121,BE,5.2024,49.8771,3.139,3.1292596,3.5895247,0.4505247459411623
BETN132,BE,5.6304,49.7193,5.339,3.3817794,4.379428,-0.9595720901489262
BETR001,BE,4.3341,50.8497,20.305,22.037868,18.927656,-1.377343826293945
BETR012,BE,4.3586,50.7966,11.295,10.635327,14.2880745,2.993074493408203
BETR020,BE,4.4367,50.9414,15.484,16.673317,17.162073,1.6780731353759766
BETR221,BE,5.6278,50.6584,15.242,12.423556,16.635254,1.3932539062499991
BETR222,BE,5.5702,50.6134,12.355,15.163376,19.812265,7.457265396118164
BETR501,BE,4.4522,50.4093,16.41,13.434365,20.416246,4.00624641418457
BETR502,BE,4.4587,50.429,15.344,13.434365,20.416246,5.072246414184571
BETR801,BE,4.4318,51.2097,21.099,26.9334,16.991634,-4.107365631103516
BG0040A,BG,23.311,42.7323,26.671,8.7668915,21.578041,-5.092958923339843
BG0041A,BG,25.5935,42.0564,18.385,4.5720367,12.43015,-5.9548499679565445
BG0043A,BG,23.5574,43.208,3.792,3.4984798,16.119831,12.327831085205078
BG0045A,BG,25.9641,43.8514,17.711,10.744604,36.209824,18.49882360839844
BG0050A,BG,23.2968,42.6806,27.19,6.902174,34.32489,7.134890136718749
BG0051A,BG,24.7652,42.1429,17.488,7.724217,23.579842,6.091841613769532
BG0052A,BG,23.4002,42.6665,24.685,10.414878,30.813463,6.128463211059572
BG0057A,BG,25.6912,43.1265,19.685,3.277454,14.249174,-5.4358258819580065
BG0058A,BG,23.0978,42.0019,15.936,5.249148,17.778908,1.8429077758789063
BG0075A,BG,27.9157,43.2244,26.027,5.58646,14.691966,-11.33503394317627
CH0002R,CH,6.9445,46.8131,8.227,4.2277346,7.949447,-0.277552845001221
CH0003R,CH,8.9047,47.4798,7.316,4.890065,7.2435184,-0.07248164749145491
CH0004R,CH,6.9792,47.0495,2.61,3.1074092,3.748677,1.1386770153045656
CH0005A,CH,8.6134,47.4029,16.242,10.621099,15.225525,-1.0164750976562509
CH0005R,CH,8.4633,47.0674,3.034,7.1803255,8.998602,5.964601913452149
CH0008A,CH,7.5833,47.5411,12.551,10.739975,12.828497,0.2774969329833983
CH0010A,CH,8.5304,47.3776,17.177,17.066881,20.25408,3.0770798187255863
CH0011A,CH,8.9571,46.0111,18.89,8.994406,13.930573,-4.959426536560059
CH0017A,CH,7.5821,47.5659,14.95,10.739975,12.828497,-2.121503067016601
CH0019A,CH,9.3944,47.4067,3.993,7.074147,4.4771156,0.48411563110351574
CH0022A,CH,8.3007,47.0677,12.804,11.552163,14.185224,1.381223579406738
CH0024A,CH,7.1483,46.139,11.648,3.4931886,11.088485,-0.5595152359008786
CH0033A,CH,8.9339,46.1603,13.029,5.749345,9.839063,-3.1899373092651366
CH0043A,CH,8.9673,46.0255,15.896,8.994406,13.930573,-1.9654265365600594
CH0050A,CH,6.0742,46.2311,10.989,4.834602,10.856974,-0.1320263519287117
CH0051A,CH,6.0052,46.1626,7.501,6.0553923,6.414844,-1.0861559638977054
CY0002R,CY,33.0578,35.038,2.402,1.000266,1.3911471,-1.0108528633117677
CZ0AKOB,CZ,14.4676,50.1222,15.445,12.243158,18.584145,3.139144592285156
CZ0ALIB,CZ,14.4459,50.0073,11.392,17.556578,29.455456,18.063455780029297
CZ0AREP,CZ,14.4292,50.0881,22.777,17.556578,29.455456,6.678455780029296
CZ0ARIE,CZ,14.4427,50.0815,17.159,17.556578,29.455456,12.296455780029298
CZ0BBDN,CZ,16.6163,49.2027,17.139,5.472501,17.015715,-0.12328535461425716
CZ0BBNY,CZ,16.6962,49.149,12.102,9.256782,10.631555,-1.4704453964233402
CZ0BZNO,CZ,16.0601,48.843,10.821,4.145571,11.4246,0.6035996475219729
CZ0CCBD,CZ,14.4657,48.9844,9.819,5.1011276,11.429459,1.6104586181640617
CZ0CPRA,CZ,14.0004,49.0161,7.935,2.685338,10.048341,2.113340797424317
CZ0EPAO,CZ,15.7394,50.0422,11.338,6.0621233,10.228619,-1.1093813781738273
CZ0JKOS,CZ,15.0803,49.5734,3.627,2.6319325,5.3095627,1.682562683105469
CZ0KPRB,CZ,12.6154,50.3725,3.109,2.383211,6.021471,2.9124710235595703
CZ0KSOM,CZ,12.6728,50.1728,9.673,3.8023827,9.052123,-0.6208769302368164
CZ0MJES,CZ,17.1902,50.2422,3.684,2.298695,5.1282706,1.444270626068115
CZ0MOLJ,CZ,17.2381,49.6015,15.849,4.7553616,17.286303,1.4373025665283201
CZ0PKUJ,CZ,13.6185,49.722,7.128,3.9676151,6.871079,-0.2569210319519044
CZ0PPLL,CZ,13.3682,49.7701,11.43,6.751689,10.289832,-1.1401678848266599
CZ0PPLV,CZ,13.4234,49.7686,8.894,5.92311,9.179596,0.28559594726562487
CZ0SKLS,CZ,14.106,50.1674,12.031,5.7633886,9.736809,-2.294191223144532
CZ0SMBO,CZ,14.9139,50.4286,12.778,5.4578075,11.236308,-1.541691902160645
CZ0TBKR,CZ,18.5386,49.5026,2.632,2.6534586,4.258242,1.626242130279541
CZ0TCER,CZ,17.5419,49.7771,4.351,2.2039216,5.011856,0.6608560791015625
CZ0TCTN,CZ,18.6097,49.749,17.357,6.5036187,10.097995,-7.259005195617675
CZ0TFMI,CZ,18.3511,49.6718,12.238,5.5927343,13.555831,1.3178309555053715
CZ0TOFF,CZ,18.2637,49.8392,15.359,9.506917,22.856361,7.497361389160156
CZ0TOPO,CZ,18.1593,49.8253,11.295,6.051733,15.160423,3.865423278808594
CZ0TSTD,CZ,18.0893,49.7209,9.73,5.260228,11.088919,1.3589186859130855
CZ0TVER,CZ,18.4229,49.9247,11.065,7.258595,16.549433,5.484432754516602
CZ0UDCM,CZ,14.2188,50.7742,15.118,4.3548665,15.453407,0.3354072875976559
CZ0ULOM,CZ,13.6734,50.5858,10.48,12.003046,12.813757,2.333756942749023
CZ0UMOM,CZ,13.6453,50.5104,16.622,12.003046,12.813757,-3.8082430572509764
CZ0USNZ,CZ,14.0868,50.7894,6.813,4.9226036,8.183523,1.3705231781005862
CZ0UTUS,CZ,13.3276,50.3766,8.796,3.8677917,7.621107,-1.1748928985595697
CZ0UULK,CZ,14.0412,50.6835,9.174,6.8167953,15.503175,6.329174781799317
