Country,RMSE_Raw,RMSE_Corrected,MAE_Raw,MAE_Corrected,Bias_Raw,Bias_Corrected,R2_Raw,R2_Corrected,N
FI,0.25189095960741037,0.20520465059978174,0.25166192293167117,0.20220104217529294,-0.25166192293167117,0.20220104217529294,0.9999999999999998,1.0,2
AD,25.442295810222625,0.2146438751220714,25.442295810222625,0.2146438751220714,-25.442295810222625,0.2146438751220714,,,1
LV,0.1115845470428467,0.4270113735198975,0.1115845470428467,0.4270113735198975,0.1115845470428467,0.4270113735198975,,,1
EE,1.6353448503640318,0.8176271570625347,1.07465474319458,0.6117690877914428,-1.035153914642334,0.27979748134613025,0.9739347435250901,0.9309707875067899,5
CY,1.4017340440750123,1.0108528633117677,1.4017340440750123,1.0108528633117677,-1.4017340440750123,-1.0108528633117677,,,1
DK,0.9010384979248043,1.4513975677490238,0.9010384979248043,1.4513975677490238,-0.9010384979248043,1.4513975677490238,,,1
HU,8.577232118775456,1.7156973676558658,8.182304694493611,1.1421525166829436,-8.182304694493611,-1.094980631510417,0.8423410129529032,0.9997838763195523,3
DE,4.477035401904316,2.150730357075683,3.2917129983078346,1.5051380657456137,-2.270377808419141,0.47806398257342253,0.47676874846295025,0.821335399985956,220
CH,5.049786906568678,2.4279834068467507,4.18660308766365,1.7314809676408771,-3.220992841243744,-0.19108160626888288,0.39505190225222014,0.762867673317488,16
HR,17.841014442443846,2.487377700805663,17.841014442443846,2.487377700805663,-17.841014442443846,-2.487377700805663,,,1
SE,4.176254106949263,2.6704508162092018,2.4469340337382426,2.0686032860808905,1.5190380384922029,2.0668126447730595,0.553953229247294,0.9779924247426609,9
BE,2.425780908092501,2.8844206263841405,1.8645077586996146,2.331148798580827,0.8065076499149718,1.8078484995611785,0.8853316985760036,0.8484818099106017,29
NL,6.688476043485509,3.077664545131718,4.704485585803077,2.5868836007799425,4.513164994830177,2.5115495840708415,0.6226377111423667,0.8862945393795735,42
FR,5.774987175250268,3.3700550481249536,4.361214051800616,2.548909604878987,-1.5392286086994058,1.293024563417715,0.48599460091022934,0.715819127343443,136
IE,4.721249432980892,3.4293884750732713,4.05436385011673,3.348353270053864,-0.10449825716018646,-1.7119480271339413,0.7770191124106527,0.7909348762180258,4
NO,3.6289555636090056,3.6691868403793015,2.648148885726929,2.2408945474624633,-1.5020316801071167,-1.9016652069091797,0.21827231351284299,0.5072531857689602,4
AT,6.2349462007128045,4.503903590405484,5.204562121617793,3.1413290037035937,-5.11995661457777,-1.287716217839718,0.42559328136718166,0.3344766975493029,80
CZ,5.866296716994538,4.7385986059990834,4.937386896663242,3.081751229074266,-4.487016896883647,1.7418663695653285,0.4047542575991101,0.534669550375931,36
LU,5.870040235654635,5.228102055734682,4.440625205993652,3.698112979888916,-4.440625205993652,-3.698112979888916,0.8377816954813397,0.7486385712815555,5
LT,5.381388752319607,5.234528632145165,3.2138489601612092,3.3352136132717134,-2.4739503657817843,-2.8430489695072176,0.3324683118010092,0.42254192739436575,4
PL,6.309668462133452,5.67522752508103,5.457658694390327,4.056476665958281,-5.149466544643525,3.058535868829297,0.4665160461588044,0.6965054903622624,62
PT,6.1278277100832135,5.951675165458082,4.345800709451948,4.290004630225046,0.26106028406960646,4.153048203877041,0.44612718294508114,0.6752580016264826,14
IT,9.542712877237804,6.382513777191917,7.474180960768278,4.358110856837833,-4.816528818253389,2.8730896438864084,0.1911064089826643,0.6551519495403435,194
GR,14.080450847557726,6.777585208547244,9.115129697163901,6.748899113972982,8.040823010762532,-6.748899113972982,0.7378000346534208,0.9915674724612914,3
BG,14.393636295709742,9.17923266029147,13.08336570930481,7.984342614746093,-13.08336570930481,2.4206088714599607,0.19934858866221125,0.10169213270474892,10
ES,10.440871759351268,9.939576069442156,5.4045692043266,6.876505461615901,0.37994609244023614,6.079219705150973,0.43571422713430147,0.7703092437001636,124
TR,19.707398776011402,18.86725707957721,14.856345137675603,13.052961658159893,-11.895323157866793,-2.5459379857381186,0.2660414997123299,0.31036889740768614,24
