Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AT9BELG,AT,16.3614,48.1744,19.223,12.048274,13.359337,-5.863663146972655
AT9GAUD,AT,16.3393,48.1871,18.684,12.048274,13.359337,-5.324663146972657
AT9JAEG,AT,16.2972,48.2702,7.495,6.0685945,7.7741327,0.27913272857666005
AT9KEND,AT,16.3098,48.205,15.994,11.569044,13.245252,-2.7487483444213865
AT9LIES,AT,16.3001,48.1412,14.838,12.048274,13.359337,-1.4786631469726554
AT9SCHA,AT,16.3016,48.2354,10.193,11.569044,13.245252,3.0522516555786137
AT9STAD,AT,16.4583,48.2264,16.266,9.671222,13.1870985,-3.0789014968872053
BETB004,BE,4.3478,50.8521,19.9,22.037868,18.964529,-0.9354709625244126
BETB006,BE,4.3744,50.8386,17.115,22.037868,18.964529,1.8495290374755875
BETB011,BE,4.2887,50.8578,13.292,14.683362,13.232164,-0.0598356170654295
BETMEU1,BE,4.3957,50.895,16.326,22.037868,18.964529,2.6385290374755854
BETN016,BE,5.164,51.2337,10.273,9.747201,12.314378,2.041377784729004
BETN027,BE,5.6067,51.1337,9.015,8.444578,10.845668,1.8306678390502924
BETN029,BE,2.5823,51.0163,7.385,8.417853,9.710843,2.325843086242676
BETN035,BE,4.8376,50.9776,9.576,10.0126095,12.950176,3.3741762390136714
BETN040,BE,4.2252,50.7681,8.221,11.111643,9.208905,0.9879052200317382
BETN052,BE,3.3225,50.8149,11.197,11.459516,15.673983,4.476982620239259
BETN054,BE,5.1032,50.7117,7.814,6.795945,10.725421,2.9114209518432617
BETN060,BE,3.4576,50.6167,7.768,11.837844,10.896704,3.1287037200927736
BETN066,BE,6.0023,50.6289,4.354,5.267268,6.492755,2.1387549362182616
BETN070,BE,3.9397,50.4652,13.812,12.195203,17.733723,3.9217226867675787
BETN073,BE,4.9884,50.5027,5.81,7.163103,7.0536776,1.2436775588989262
BETN085,BE,6.0017,50.3032,2.558,3.7828994,4.5784574,2.0204573554992677
BETN093,BE,5.2352,50.2745,5.099,4.263425,5.8171725,0.7181725273132322
BETN100,BE,4.5948,50.0957,3.035,3.8520596,4.2148805,1.1798804664611815
BETN113,BE,5.593,50.027,3.538,3.0939932,3.4415383,-0.09646166610717755
BETN121,BE,5.2024,49.8771,3.139,3.1292596,3.5982013,0.4592012748718264
BETN132,BE,5.6304,49.7193,5.339,3.3817794,4.3774266,-0.9615733757019047
BETR001,BE,4.3341,50.8497,20.305,22.037868,18.964529,-1.3404709625244138
BETR012,BE,4.3586,50.7966,11.295,10.635327,14.218471,2.923470573425293
BETR020,BE,4.4367,50.9414,15.484,16.673317,17.121637,1.6376373443603516
BETR221,BE,5.6278,50.6584,15.242,12.423556,16.594168,1.352167709350585
BETR222,BE,5.5702,50.6134,12.355,15.163376,16.889631,4.534631271362304
BETR501,BE,4.4522,50.4093,16.41,13.434365,20.32885,3.9188497924804686
BETR502,BE,4.4587,50.429,15.344,13.434365,20.32885,4.984849792480469
BETR801,BE,4.4318,51.2097,21.099,26.9334,17.110369,-3.988631271362305
BG0040A,BG,23.311,42.7323,26.671,8.7668915,21.568005,-5.1029953918457025
BG0041A,BG,25.5935,42.0564,18.385,4.5720367,11.014751,-7.37024856567383
BG0043A,BG,23.5574,43.208,3.792,3.4984798,16.125092,12.333091552734375
BG0045A,BG,25.9641,43.8514,17.711,10.744604,28.434067,10.723066772460939
BG0050A,BG,23.2968,42.6806,27.19,6.902174,34.153557,6.9635568237304675
BG0051A,BG,24.7652,42.1429,17.488,7.724217,23.52076,6.032759582519532
BG0052A,BG,23.4002,42.6665,24.685,10.414878,30.763191,6.0781912231445325
BG0057A,BG,25.6912,43.1265,19.685,3.277454,14.239135,-5.445865211486815
BG0058A,BG,23.0978,42.0019,15.936,5.249148,17.756966,1.8209656372070313
BG0075A,BG,27.9157,43.2244,26.027,5.58646,14.6965885,-11.33041148376465
CH0002R,CH,6.9445,46.8131,8.227,4.2277346,7.9577994,-0.2692005653381351
CH0003R,CH,8.9047,47.4798,7.316,4.890065,7.2448163,-0.07118369674682601
CH0004R,CH,6.9792,47.0495,2.61,3.1074092,3.7854004,1.1754003906250001
CH0005A,CH,8.6134,47.4029,16.242,10.621099,15.185934,-1.05606593322754
CH0005R,CH,8.4633,47.0674,3.034,7.1803255,10.103325,7.069324890136719
