p,k,RMSE,MAE,MBE,R2
0.5,2,10.329910901000064,5.798930019412017,1.1423639960672916,-0.2311572843552221
0.5,3,9.899242840053844,5.996202994193822,1.6087969426118809,-0.1306399951545891
0.5,4,9.662478295332471,6.0152305260841,1.6957296146827938,-0.0772027428513868
0.5,5,15.052845356664395,6.868021292597852,2.700074154906844,-1.6143130319140029
0.5,6,14.31011346361846,6.823975752244142,2.6267752319548197,-1.362688907387343
0.5,7,14.13545007778628,6.877736742274566,2.795995127600838,-1.3053648655141474
0.5,8,13.547806287739665,6.8898614556175355,2.8718625774157673,-1.1176702934278846
0.5,9,13.195350810144154,6.902501071601391,2.956012662267349,-1.0089182745990335
0.5,10,13.027033037450575,7.001679694215772,3.0600653129484674,-0.9579942717469409
0.5,11,12.821908236306736,7.0640199001220685,3.185667383439711,-0.8968182374404765
0.5,12,12.580955992878836,6.986489957697183,3.1827666761223607,-0.8261972071672803
0.5,13,12.468780198905094,7.035981623327265,3.259992272836089,-0.7937764841057906
0.5,14,12.40244611615632,7.096173617107116,3.334585417689694,-0.7747414212434875
0.5,15,12.4323578838125,7.140074712231473,3.3917275509833567,-0.7833122576036966
0.5,16,12.396770873840616,7.155391928737712,3.4128960568476994,-0.7731175829985424
0.5,17,12.408364098755191,7.208970684152707,3.469579342572305,-0.7764355055463017
0.5,18,12.401969876991949,7.233358999773709,3.486688760926699,-0.7746051279451904
0.5,19,12.36767883325089,7.265443757038186,3.51596720614507,-0.7648052438463688
0.5,20,14.895657166646368,7.995271939217673,4.271725238435055,-1.559998578579168
0.5,21,16.49011473029765,8.33611862943927,4.6347886004542485,-2.1373844691453763
0.5,22,16.501905887173397,8.368922297060454,4.701875279262073,-2.141872808858147
0.5,23,16.52880077311336,8.491470615873643,4.829711952896172,-2.152122433467299
0.5,24,16.461566816133935,8.524526094773767,4.831245298954097,-2.1265309056343824
0.5,25,16.475011613369865,8.537401515735196,4.8491596366278715,-2.1316401082499112
0.5,26,16.428485388042642,8.550369817599256,4.886811595736328,-2.1139772792287483
0.5,27,16.462999829188625,8.584493396909682,4.9328034960919345,-2.127075271145386
0.5,28,16.601840190250677,8.699215493550582,5.040120944147443,-2.1800419262861412
0.5,29,16.575416856060244,8.72130555100643,5.087681030206875,-2.1699273316323757
0.5,30,16.622710829216395,8.842405984590552,5.235125109192709,-2.1880423917360803
0.5,31,16.509379455459154,8.831243970572464,5.230223896417875,-2.144719306506642
0.5,32,16.466802350028576,8.837100099367952,5.250749922633894,-2.1285199825877448
0.5,33,16.468965214829964,8.877107139521309,5.288411521474793,-2.1293418798803607
0.5,34,16.398891719796556,8.865912553897891,5.260625911511187,-2.102768575938931
0.5,35,16.381404243538753,8.867652069052713,5.262708241542475,-2.096154633726631
0.5,36,16.35586199379633,8.882048539743687,5.283515624656431,-2.0865069747193714
0.5,37,16.343750419644994,8.890212046482038,5.275839703482408,-2.0819375283416353
0.5,38,16.37089552146883,8.911464990028936,5.311860697040736,-2.0921835221084475
0.5,39,16.310491591906025,8.900640369307808,5.304388496209611,-2.0694070707013656
0.5,40,16.27530130527952,8.902542577221295,5.319723447688173,-2.056176716080538
0.6,2,10.22598196360139,5.768166629003992,1.1111286014425472,-0.2065086296893792
0.6,3,9.805438348052425,5.930845693856482,1.5425005597420116,-0.1093137971917885
0.6,4,9.548653798710411,5.932561067068624,1.604974869897568,-0.0519732172536615
0.6,5,13.87390416828045,6.678932091535856,2.496033473731537,-1.220842544133944
0.6,6,13.333430239750808,6.646810625746336,2.4354167363225523,-1.05118189213403
0.6,7,13.241442830765212,6.700932572776271,2.5924385969872348,-1.022977290313971
0.6,8,12.80494669660474,6.7235653828294115,2.675178380794331,-0.8918031215696929
0.6,9,12.546685334857347,6.736647383670168,2.7577732609297168,-0.8162615967214211
0.6,10,12.43957288190858,6.827681746032217,2.8569235214155495,-0.7853827140955658
0.6,11,12.280815785423282,6.883307861531224,2.976887128494685,-0.7401024626383299
0.6,12,12.084655781136568,6.802482313567024,2.9775503883378778,-0.6849575222953885
0.6,13,11.99046389559715,6.835362654556388,3.045746938471156,-0.6587936311730747
0.6,14,11.939845433497334,6.883852441705409,3.1140167094404063,-0.6448177999774687
0.6,15,11.981461541032488,6.928615068042429,3.1717559729545233,-0.6563037454214629
0.6,16,11.96036877747984,6.947480297967159,3.1932514537991725,-0.6504771988697722
0.6,17,11.97396406667225,6.995046833674388,3.2432275544197076,-0.654231509163582
0.6,18,11.9732126009935,7.013036368800432,3.2590285672200165,-0.6540238821505799
0.6,19,11.94947649821585,7.040953416389177,3.286923547528638,-0.6474723964445332
0.6,20,13.896515894792838,7.649545832918938,3.9190561939451847,-1.2280875136241822
0.6,21,15.195101192174205,7.938447131817395,4.228906294995408,-1.6639592734045836
0.6,22,15.245878115817597,7.976217527669521,4.299466668011769,-1.6817931350465591
0.6,23,15.290660354399511,8.088237613673044,4.416550191029728,-1.697570918544105
0.6,24,15.253606942537491,8.124255072119677,4.423121460571899,-1.6845128692644016
