Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AD0942A,AD,1.5391,42.5097,25.016,0.36078227,27.240793,2.224793228149416
AT0ENK1,AT,13.6709,48.3916,7.55,5.1674676,6.259307,-1.2906930923461912
AT0KLH1,AT,15.9563,46.7672,5.744,4.6358805,5.8355546,0.09155459976196312
AT0PIL1,AT,15.936,48.7212,5.699,3.02583,6.3696303,0.6706303367614748
AT0VOR1,AT,12.9746,46.6777,2.303,1.7189863,12.725182,10.422181579589843
AT0ZOE2,AT,14.4409,47.8383,2.781,1.9448694,6.1640587,3.3830586853027342
AT10003,AT,17.0703,48.1092,10.533,11.245564,10.763495,0.23049544525146537
AT2KA71,AT,14.2991,46.6266,15.803,8.610918,16.069593,0.26659342956542886
AT2SP10,AT,13.1945,46.935,8.89,1.1753484,11.325535,2.43553482055664
AT2SP18,AT,13.4939,46.8014,15.017,4.530403,12.678599,-2.338400642395019
AT2WO35,AT,14.8917,46.7083,6.736,5.580625,7.9568,1.2207999839782717
AT30065,AT,16.1434,48.1955,12.647,4.345743,8.541937,-4.105063125610352
AT30101,AT,14.8788,48.1199,14.648,7.058164,10.996128,-3.651871917724609
AT30201,AT,16.2057,47.9592,8.981,6.6823745,5.5988183,-3.382181697845459
AT30202,AT,15.9189,48.1051,4.74,5.2420545,3.6622047,-1.0777952575683596
AT30301,AT,16.9579,48.1442,9.041,5.671555,9.811886,0.770885833740234
AT30302,AT,16.6753,48.05,7.754,4.91824,6.8508,-0.9031999626159664
AT30401,AT,16.7294,48.3347,8.217,4.0347953,7.782323,-0.4346771163940435
AT30403,AT,16.522,48.3929,8.681,4.8629384,7.5874357,-1.093564277648925
AT30407,AT,16.6363,48.2307,8.285,4.5297437,8.550813,0.26581272125244126
AT30502,AT,15.0467,48.8786,3.713,2.6012561,6.935338,3.222338020324707
AT30601,AT,16.3139,48.3025,7.905,7.7236094,9.2693,1.3643004608154294
AT31204,AT,15.205,48.2128,10.783,5.059056,8.489225,-2.2937746124267573
AT31401,AT,16.301,48.0856,12.435,8.616248,10.11706,-2.317940292358399
AT31502,AT,15.86,47.6703,2.582,2.3304727,3.89332,1.3113200836181642
AT31701,AT,15.5455,48.3704,5.821,3.8326435,7.0996723,1.278672317504883
AT31901,AT,16.0625,48.3294,13.264,5.72641,10.756937,-2.5070629730224603
AT32301,AT,15.6325,48.2116,13.814,6.4679646,10.5189,-3.295100082397461
AT32401,AT,16.255,47.8142,11.466,5.5493255,8.530093,-2.9359068069458
