Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AD0942A,AD,1.5391,42.5097,23.917,0.33460486,25.45849,1.5414903717041
AT0ENK1,AT,13.6709,48.3916,8.715,5.7195306,6.8854856,-1.8295143508911131
AT0KLH1,AT,15.9563,46.7672,7.011,4.395337,5.503575,-1.5074251518249513
AT0PIL1,AT,15.936,48.7212,6.956,3.0046813,6.321831,-0.6341687736511235
AT0VOR1,AT,12.9746,46.6777,2.683,1.4228147,6.3986945,3.7156945152282717
AT0ZOE2,AT,14.4409,47.8383,3.037,1.8622466,3.3614478,0.32444781112670906
AT10003,AT,17.0703,48.1092,12.214,11.9573145,11.384913,-0.8290865554809574
AT2KA71,AT,14.2991,46.6266,16.875,7.825537,14.629457,-2.245542526245117
AT2SP10,AT,13.1945,46.935,10.194,0.8544101,8.229653,-1.9643466415405282
AT2SP18,AT,13.4939,46.8014,16.478,3.400433,23.992065,7.5140654296874985
AT2WO35,AT,14.8917,46.7083,7.908,4.890128,6.9489717,-0.9590282516479496
AT30065,AT,16.1434,48.1955,13.583,5.7449613,11.358591,-2.224408920288086
AT30101,AT,14.8788,48.1199,15.595,8.6647215,13.523034,-2.0719659042358405
AT30201,AT,16.2057,47.9592,8.94,9.020269,7.495755,-1.4442448043823237
AT30202,AT,15.9189,48.1051,5.606,7.120208,4.8968086,-0.7091913757324217
AT30301,AT,16.9579,48.1442,11.195,6.028957,10.453995,-0.7410052490234378
AT30302,AT,16.6753,48.05,8.067,5.9438763,7.9683633,-0.0986367149353029
AT30401,AT,16.7294,48.3347,9.092,4.5044007,8.707187,-0.3848133010864263
AT30403,AT,16.522,48.3929,9.347,5.1466737,8.0319,-1.3150995941162105
AT30407,AT,16.6363,48.2307,9.374,4.7260056,8.953721,-0.42027895355224665
AT30502,AT,15.0467,48.8786,4.178,2.7651303,5.3309636,1.1529636116027833
AT30601,AT,16.3139,48.3025,9.192,8.24118,9.87702,0.6850198822021483
AT31204,AT,15.205,48.2128,11.606,5.1578703,8.340479,-3.2655211029052733
AT31401,AT,16.301,48.0856,12.534,10.557002,12.390452,-0.14354761505127023
AT31502,AT,15.86,47.6703,3.599,2.430448,4.0360484,0.43704841232299785
AT31701,AT,15.5455,48.3704,7.458,4.2617364,7.661292,0.20329207611083966
AT31901,AT,16.0625,48.3294,12.581,6.580278,12.407801,-0.17319932556152295
AT32301,AT,15.6325,48.2116,14.121,7.5778894,12.359432,-1.761567779541016
AT32401,AT,16.255,47.8142,12.587,7.236125,11.152656,-1.434344398498535
AT32501,AT,15.6192,48.4086,13.489,4.955329,11.897568,-1.5914322509765633
AT32604,AT,14.7723,48.0451,8.878,4.1439986,8.380444,-0.49755642700195324
AT32701,AT,16.4759,48.1456,14.079,15.871045,18.55325,4.474249359130859
AT4S108,AT,14.5747,48.5311,4.169,3.042127,4.483003,0.31400313949585
AT4S125,AT,13.6322,47.7161,10.235,2.3174148,5.2629538,-4.972046241760253
AT4S184,AT,14.2975,48.3061,20.101,7.478599,9.161342,-10.939658332824706
AT4S404,AT,14.2376,48.2253,17.788,16.840702,18.0871,0.29909907531738256
AT4S406,AT,14.0366,48.1649,18.395,12.0474,15.759194,-2.635805625915527
AT4S409,AT,14.4424,48.0493,12.462,5.7875457,10.656861,-1.8051386947631833
AT4S416,AT,14.3148,48.2733,21.712,23.244534,26.840899,5.128898513793946
AT51066,AT,13.0433,47.8056,17.446,8.60203,15.806013,-1.6399868927001968
AT52100,AT,13.1051,47.6668,8.38,5.5733395,13.788645,5.408644790649413
AT53055,AT,13.0158,47.9367,5.484,5.443513,4.948628,-0.5353720512390137
AT54057,AT,13.2056,47.3514,16.219,1.754837,9.072619,-7.1463805618286145
AT55032,AT,13.808,47.1257,11.693,1.3687888,12.651594,0.9585941619873051
AT56072,AT,12.7951,47.3266,12.605,1.7643654,12.082608,-0.5223917770385746
AT60106,AT,15.0867,47.0633,13.948,3.5229564,1.7302867,-12.217713282585144
AT60107,AT,15.1528,47.0447,13.563,4.7780538,8.403435,-5.159565246582032
AT60118,AT,14.6767,47.1781,9.923,3.0224924,8.681148,-1.241852424621582
AT60138,AT,15.4151,47.0944,16.054,15.773948,18.431526,2.3775261840820328
AT60139,AT,15.4044,47.0694,19.939,15.773948,18.431526,-1.5074738159179688
AT60142,AT,15.0741,47.3753,13.169,8.479659,17.513557,4.344557434082031
AT60145,AT,15.2903,47.4458,14.179,6.0915575,15.858519,1.679518600463867
AT60170,AT,15.4331,47.0417,22.091,15.773948,18.431526,-3.65947381591797
AT60172,AT,15.4319,47.0692,21.605,15.773948,18.431526,-3.173473815917969
AT60179,AT,15.9719,47.2829,13.916,4.9284296,11.175352,-2.740647903442383
AT60180,AT,15.2533,47.4094,11.158,6.0915575,15.858519,4.700518600463868
AT60194,AT,15.6731,47.6047,12.656,1.8085971,3.0894156,-9.566584449768067
AT60195,AT,15.2128,46.8139,11.085,4.8718863,6.0283346,-5.056665382385255
AT60197,AT,15.5406,46.7783,15.276,9.105052,13.366832,-1.9091682205200193
AT60198,AT,16.079,47.0474,12.578,5.2240376,9.606701,-2.9712991027832025
AT72110,AT,11.3924,47.2626,24.88,14.176997,18.682314,-6.197686080932616
AT72113,AT,11.3747,47.2699,13.178,14.176997,18.682314,5.504313919067382
AT72227,AT,11.5125,47.2781,24.136,7.8241935,21.073984,-3.062015853881835
AT72530,AT,12.0666,47.4886,19.012,6.871577,15.81078,-3.2012204284667973
AT72538,AT,11.91,47.4587,12.361,6.1655073,10.867426,-1.493574081420899
AT72552,AT,12.1724,47.5818,15.705,8.062838,13.815516,-1.889483528137207
