Country,RMSE_Raw,RMSE_Corrected,MAE_Raw,MAE_Corrected,Bias_Raw,Bias_Corrected,R2_Raw,R2_Corrected,N
FI,0.4277990834726689,0.0652895035149495,0.4262785727977752,0.061689782619476385,-0.4262785727977752,0.061689782619476385,1.0,0.9999999999999996,2
DK,2.627166500091553,0.19221042633056662,2.627166500091553,0.19221042633056662,-2.627166500091553,-0.19221042633056662,,,1
LV,0.6154274082183839,0.2841259574890138,0.6154274082183839,0.2841259574890138,-0.6154274082183839,-0.2841259574890138,,,1
EE,1.9544548455865245,0.527302035673519,1.3207979995727537,0.4773324390411375,-1.1917117286682128,0.17608130683898932,0.925346439931762,0.9793991063498753,5
AD,23.58239514064789,1.5414903717041,23.58239514064789,1.5414903717041,-23.58239514064789,1.5414903717041,,,1
CY,2.0542832689285278,1.6718230323791503,2.0542832689285278,1.6718230323791503,-2.0542832689285278,-1.6718230323791503,,,1
DE,5.450182041679676,2.181026264295525,4.1635339852506466,1.5451218361767856,-3.5879110408522865,-0.5401285969820889,0.4932865152987209,0.8472998685945536,220
SE,4.279703503224164,2.3415801095581856,2.7719111497402187,1.823977961619695,1.0571506809393567,1.658844496594535,0.5559125639325859,0.9786677101153338,9
NL,6.5552033242589065,2.470835101710367,4.340741394406273,1.7790651540302092,3.0995002069019133,0.9370172526949929,0.538209819187293,0.8289788971645621,42
FR,6.445389319022778,2.4757936046514066,5.087916245222091,1.7456436834756066,-3.1098990497729355,0.1327226630519418,0.54577460918027,0.8309556431331268,136
HU,9.980939513169249,2.617354228995086,9.600558488210043,2.224442530314128,-9.600558488210043,-2.224442530314128,0.931024715538265,0.7057947402652532,3
BE,3.0922164884001453,2.7622431453358156,2.4597324231246422,2.0082309663706814,-1.3754353297661095,-0.30816892308202315,0.8278032726953872,0.8291342438040794,29
LT,3.2987983873464937,3.055926211804119,2.232747099637985,1.914997777938843,-0.9489119198322296,-1.3256194438934326,0.5575031619029124,0.6499521223320357,4
CH,6.458642839191911,3.158153454143902,5.513575548291206,2.445082835674286,-4.860206367611885,-1.6942543258666993,0.40350317999979546,0.7700017395406625,16
LU,4.708872088556718,3.169854720562994,3.7850136123657228,2.4514077507019048,-3.7850136123657228,-2.4514077507019048,0.8693597907222268,0.9382758777925463,5
AT,6.4935941181599555,3.5110749107051515,5.3047077711045745,2.566328057205677,-5.0202704919755465,-0.9942338710904123,0.44827161226386,0.6275410609735012,80
CZ,6.551466087487742,3.530992867678624,5.542991089926826,2.438089262326558,-5.308327763663398,1.4856126612557305,0.41958262370108573,0.6881268933329923,36
NO,3.6470896778867266,3.75373011846823,2.592870228767395,2.2593064837455747,-1.7739494256973267,-2.141875904083252,0.7770450403635741,0.8580460158698372,4
PL,7.256676833749457,4.0419293861338375,6.301938646901039,3.1368501302965224,-6.127410728239244,2.0388819622224377,0.47922481821315555,0.7573877863915256,62
HR,18.80683853149414,4.367442626953125,18.80683853149414,4.367442626953125,-18.80683853149414,-4.367442626953125,,,1
GR,16.217311660551587,4.584215092288093,11.27754153696696,4.44591373316447,11.27754153696696,-4.44591373316447,0.7780958975281485,0.9769543079710274,3
PT,5.386602319263544,4.795571834331362,3.6363233525412424,3.7653740239824565,-0.754753175462995,3.301798485347203,0.5874101154038541,0.7864143062724573,14
IE,5.730095575757035,5.377169971599113,5.2554296545982355,4.546737819194793,-1.8416680884361267,-3.4782321047782894,0.4743259053874435,0.4685717144900049,4
IT,10.920474055406714,6.383198743974496,8.733480425112026,4.124264931413316,-6.184047386194013,1.8776185303717543,0.1622199383036199,0.6124366586942787,194
ES,11.168827295570573,9.364514944075333,5.909939257041102,6.486017605858466,-0.47897654293814,5.417850463113477,0.4651689834698576,0.7998762885167515,124
BG,15.89946482082024,10.131824789437088,14.37443843097687,7.995637517547607,-14.2400402009964,1.1572206794738769,0.0035624098423599083,0.02298003524214247,10
TR,18.35854030794617,20.560663617787593,13.55147382013003,13.40224524418513,-8.64231327732404,1.0050955557823185,0.14227525143879624,0.16458552889435799,24
