Country,RMSE_Raw,RMSE_Corrected,MAE_Raw,MAE_Corrected,Bias_Raw,Bias_Corrected,R2_Raw,R2_Corrected,N
CH,2.92124360685262,0.6457867359418062,2.8539633750915523,0.6198284626007085,2.8539633750915523,-0.6198284626007085,0.9999999999999996,1.0,2
IE,0.5817745882652247,0.8886457102283717,0.3958096485137941,0.719264147758484,0.3958096485137941,0.719264147758484,0.7245750402996447,0.46797568980482934,4
SE,0.5745535535010048,0.9060117668578056,0.5242490735054015,0.7946401271820069,0.5242490735054015,0.6018976535797118,0.9958479298766467,0.8789987488420095,4
DE,1.9174526114915547,0.993006263493758,1.4909896346691043,0.8198189600123915,1.1558774290750191,0.4277280427356098,0.22855092383578493,0.6316759935648166,86
FI,0.5117597885131837,1.4980922050476075,0.5117597885131837,1.4980922050476075,0.5117597885131837,1.4980922050476075,,,1
FR,1.2667210318853812,1.595685772556277,1.0070985811341484,1.289843443816563,0.10793082485558861,0.9461722580531859,0.47305941790564804,0.48556052485476153,53
LU,3.0960633569170426,1.6170308717482653,3.074862551371256,1.4635452346801758,3.074862551371256,1.4635452346801758,0.8484780097703521,0.37060533366044085,3
NL,3.8856808236143756,1.6266572051417736,3.8128615126176317,1.3884818867770108,3.8128615126176317,1.3115849328474563,0.03151094527979055,0.013803807238928583,11
AT,2.77909323428915,1.6316216072068697,1.7851748718261717,1.311551146850586,1.1515370474243165,0.9753451452636719,0.22241104860064806,0.6571279795740521,25
EE,0.8388642598491851,1.636094453567495,0.7040785039265952,1.3170926542282106,0.47369590886433915,1.175986880938212,0.4430742143244253,0.6595103810806475,6
BE,3.4145736265566935,1.6636953697302137,3.2608214719136566,1.3722305491129556,3.2608214719136566,0.9241652511596679,0.8305074720470549,0.6430359405697651,30
NO,1.8787746468114106,2.246644014861033,1.6794283933639527,1.8875850982666016,0.7435770387649536,1.2454961891174317,0.5830028724338737,0.6984665361469736,4
HR,5.382448972568516,2.3944246208596534,4.618892112731934,1.877496162414551,-2.763438545227051,1.4860273971557616,1.0,1.0,2
ES,3.2058062339817948,2.464390730716433,2.408253488280556,2.099332387750799,0.047855453924699205,0.1086601135947487,0.11682493809411482,0.2553614309358135,22
SI,3.643771675109864,2.8120837478637704,3.643771675109864,2.8120837478637704,3.643771675109864,2.8120837478637704,,,1
CY,2.5584998788458044,2.822343147629497,2.236688884735108,2.300605503082275,-2.236688884735108,2.300605503082275,0.8986205247765457,0.8253018788478721,4
IT,4.269899937979385,2.9194428239338017,3.2628416359575496,2.216923575196085,1.426352768161629,1.3713028206161306,0.5915032966598917,0.6728207051773154,79
CZ,1.1188805335419014,3.808154842197881,0.9548736990148373,2.435402872952548,-0.2377208024805242,1.5289365282925693,0.7816676175938013,0.8244310941873508,22
PT,8.045454649457891,4.627024308364048,5.9749281717936205,4.220429829279581,5.9749281717936205,3.335153292973837,0.08018636693251974,0.2492873636976383,6
RO,0.8826355895996087,5.643111709594727,0.8826355895996087,5.643111709594727,-0.8826355895996087,5.643111709594727,,,1
PL,2.563172136629064,7.610316329133948,2.091258546118642,6.03716421508789,-0.8093201359767539,5.842433046527938,0.2822825947531941,0.5114416467849832,51
TR,7.0513637568271,10.740522900652357,5.511917862892151,9.860230026245116,4.039634989738464,7.641786979675293,0.27915687717716586,0.12634649944070617,8
BG,6.485465361787656,13.730603148192332,4.730889547348022,12.530875082015992,-4.464103921890259,9.479761377334594,0.17888765811186583,0.09994927762951358,4
