Country,RMSE_Raw,RMSE_Corrected,MAE_Raw,MAE_Corrected,Bias_Raw,Bias_Corrected,R2_Raw,R2_Corrected,N
CH,2.92124360685262,0.6457867359418062,2.8539633750915523,0.6198284626007085,2.8539633750915523,-0.6198284626007085,0.9999999999999996,1.0,2
SE,0.5745535535010048,0.9060117668578056,0.5242490735054015,0.7946401271820069,0.5242490735054015,0.6018976535797118,0.9958479298766467,0.8789987488420095,4
IE,0.5817745882652247,0.9434259227975362,0.3958096485137941,0.7760962228775026,0.3958096485137941,0.7760962228775026,0.7245750402996447,0.4237362667050799,4
DE,1.9174526114915547,1.0142428815935238,1.4909896346691043,0.8255583605655404,1.1558774290750191,0.4107298737015835,0.22855092383578493,0.6224008790897791,86
FI,0.5117597885131837,1.4980922050476075,0.5117597885131837,1.4980922050476075,0.5117597885131837,1.4980922050476075,,,1
FR,1.2667210318853812,1.574301166257728,1.0070985811341484,1.2597728510442772,0.10793082485558861,0.9492436111738098,0.47305941790564804,0.49158491960941136,53
LU,3.0960633569170426,1.6170308717482653,3.074862551371256,1.4635452346801758,3.074862551371256,1.4635452346801758,0.8484780097703521,0.37060533366044085,3
AT,2.77909323428915,1.6259839319767855,1.7851748718261717,1.30203977142334,1.1515370474243165,0.9729761801147461,0.22241104860064806,0.659881725336573,25
NL,3.8856808236143756,1.6266572051417736,3.8128615126176317,1.3884818867770108,3.8128615126176317,1.3115849328474563,0.03151094527979055,0.013803807238928583,11
EE,0.8388642598491851,1.636221061605032,0.7040785039265952,1.3222359056472779,0.47369590886433915,1.1893841772079468,0.4430742143244253,0.6683471405732099,6
BE,3.4145736265566935,1.6741397096664405,3.2608214719136566,1.3867705697377526,3.2608214719136566,0.9077246847788492,0.8305074720470549,0.6300990700629123,30
NO,1.8787746468114106,2.126130309435787,1.6794283933639527,1.7329297013282776,0.7435770387649536,1.318279480457306,0.5830028724338737,0.7574312481014681,4
HR,5.382448972568516,2.342042619260751,4.618892112731934,1.8402008209228518,-2.763438545227051,1.4487320556640624,1.0,1.0,2
ES,3.2058062339817948,2.4743220357686604,2.408253488280556,2.11186895682595,0.047855453924699205,0.09612354451959777,0.11682493809411482,0.25159785415784797,22
IT,4.269899937979385,2.7632335191276103,3.2628416359575496,2.110060040727446,1.426352768161629,1.103492143944849,0.5915032966598917,0.6757822336903867,79
SI,3.643771675109864,2.8120837478637704,3.643771675109864,2.8120837478637704,3.643771675109864,2.8120837478637704,,,1
CY,2.5584998788458044,2.822343147629497,2.236688884735108,2.300605503082275,-2.236688884735108,2.300605503082275,0.8986205247765457,0.8253018788478721,4
CZ,1.1188805335419014,3.813077701504018,0.9548736990148373,2.473634852669456,-0.2377208024805242,1.5330160435763274,0.7816676175938013,0.8302629733724367,22
PT,8.045454649457891,4.627024353980059,5.9749281717936205,4.220429908752441,5.9749281717936205,3.335153213500977,0.08018636693251974,0.2492873791100415,6
RO,0.8826355895996087,5.643111709594727,0.8826355895996087,5.643111709594727,-0.8826355895996087,5.643111709594727,,,1
PL,2.563172136629064,7.620627476223849,2.091258546118642,6.085659732145421,-0.8093201359767539,5.890928563585469,0.2822825947531941,0.5186883379555638,51
TR,7.0513637568271,10.047008890314228,5.511917862892151,9.286845264434813,4.039634989738464,7.06840221786499,0.27915687717716586,0.0848818284060426,8
BG,6.485465361787656,14.48229492402548,4.730889547348022,13.324548597335816,-4.464103921890259,10.273434892654418,0.17888765811186583,0.2135132109614774,4
