Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AT72530,AT,12.0666,47.4886,39.309,62.280624,52.243015,12.934015289306643
AT72538,AT,11.91,47.4587,48.78,60.87431,47.06378,-1.7162182617187511
AT72705,AT,10.6823,47.4698,56.42,71.400795,62.10111,5.681108551025389
AT72710,AT,10.7441,47.4476,52.078,67.60688,51.59781,-0.48019116210937796
AT72912,AT,12.766,46.8191,45.073,66.10213,42.853268,-2.219732330322266
AT80503,AT,9.9267,47.5292,78.196,70.47276,86.34623,8.150229553222658
AT80706,AT,9.6537,47.4102,53.198,62.041782,51.423866,-1.7741337280273441
AT82708,AT,9.8229,47.1565,50.706,64.969894,47.31329,-3.3927103576660187
AT900ZA,AT,16.3571,48.249,60.274,66.249245,60.47887,0.20487039184570222
AT90LOB,AT,16.5256,48.1621,54.635,66.795425,55.99362,1.358621826171877
AT9JAEG,AT,16.2972,48.2702,69.597,72.077,72.63773,3.040733459472662
BETB011,BE,4.2887,50.8578,54.206,57.81421,52.027893,-2.178106933593753
BETN012,BE,3.3625,51.2546,57.329,58.58338,54.4095,-2.919499877929688
BETN027,BE,5.6067,51.1337,58.003,60.681377,53.05797,-4.945031860351563
BETN035,BE,4.8376,50.9776,58.443,59.67476,52.436134,-6.006865661621092
BETN046,BE,5.6189,50.8823,55.284,59.73558,54.42988,-0.8541217651367177
BETN060,BE,3.4576,50.6167,51.145,55.88975,42.88686,-8.258140106201175
BETN066,BE,6.0023,50.6289,57.179,68.3773,54.75076,-2.4282408752441427
BETN070,BE,3.9397,50.4652,44.709,58.15543,38.596584,-6.112415679931644
BETN073,BE,4.9884,50.5027,56.432,61.47183,49.659515,-6.772484619140627
BETN085,BE,6.0017,50.3032,54.156,67.474625,52.030323,-2.1256769714355457
BETN093,BE,5.2352,50.2745,57.319,65.11262,53.166336,-4.15266394042969
BETN100,BE,4.5948,50.0957,60.96,66.662506,58.506424,-2.4535760498046884
BETN113,BE,5.593,50.027,66.529,67.40304,60.818855,-5.710144714355465
BETN132,BE,5.6304,49.7193,57.177,67.811935,54.007576,-3.1694240112304684
BETR012,BE,4.3586,50.7966,55.064,61.214657,52.919434,-2.14456640625
BETR221,BE,5.6278,50.6584,50.349,61.146954,47.140163,-3.2088365783691373
BETR222,BE,5.5702,50.6134,51.374,59.40044,48.292164,-3.081836151123049
BETR502,BE,4.4587,50.429,45.887,58.87187,40.869633,-5.017367279052735
BETR811,BE,4.4914,51.2521,53.453,48.92507,64.11827,10.665270874023435
BG0013A,BG,27.5872,43.223,44.394,74.22777,40.43922,-3.9547795715332015
BG0040A,BG,23.311,42.7323,42.585,59.64316,34.55618,-8.028820953369141
BG0041A,BG,25.5935,42.0564,41.407,69.268364,51.55625,10.14925152587891
BG0043A,BG,23.5574,43.208,53.37,72.862686,50.08344,-3.286561126708982
BG0045A,BG,25.9641,43.8514,51.917,66.04011,38.604286,-13.312713806152345
BG0050A,BG,23.2968,42.6806,38.196,72.02282,37.656456,-0.5395440063476542
BG0051A,BG,24.7652,42.1429,45.027,64.34298,44.003876,-1.023124267578126
BG0052A,BG,23.4002,42.6665,47.551,60.214302,37.74785,-9.803151489257814
BG0056A,BG,27.421,42.4566,51.652,71.248764,60.554436,8.902435729980468
BG0058A,BG,23.0978,42.0019,27.398,65.290886,52.02003,24.622030975341797
BG0075A,BG,27.9157,43.2244,52.118,75.8623,50.34909,-1.768909423828127
CH0002R,CH,6.9445,46.8131,58.985,64.571945,53.297073,-5.687926635742187
CH0003R,CH,8.9047,47.4798,59.361,68.00922,62.619568,3.258567871093753
CH0004R,CH,6.9792,47.0495,82.568,71.26304,79.93555,-2.632453124999998
CH0005A,CH,8.6134,47.4029,51.788,59.11016,50.19281,-1.5951899414062467
CH0005R,CH,8.4633,47.0674,80.517,66.30289,84.8161,4.299101074218754
CH0008A,CH,7.5833,47.5411,57.25,61.38975,56.872295,-0.3777046203613281
CH0010A,CH,8.5304,47.3776,57.635,56.81291,52.631622,-5.003377685546873
CH0011A,CH,8.9571,46.0111,57.16,71.79096,59.658474,2.498473968505863
CH0017A,CH,7.5821,47.5659,54.559,61.38975,56.872295,2.3132953796386744
CH0019A,CH,9.3944,47.4067,77.192,66.49611,58.229633,-18.962366668701165
CH0022A,CH,8.3007,47.0677,54.564,63.24132,49.102303,-5.461697448730469
CH0024A,CH,7.1483,46.139,50.938,63.770847,49.806377,-1.1316225891113305
CH0033A,CH,8.9339,46.1603,50.885,71.40865,52.599087,1.7140867614746114
CH0043A,CH,8.9673,46.0255,54.107,71.79096,59.658474,5.55147396850586
CH0050A,CH,6.0742,46.2311,56.311,71.43934,53.28746,-3.0235396728515624
CH0051A,CH,6.0052,46.1626,57.985,65.23351,55.612286,-2.3727143859863276
CY0002R,CY,33.0578,35.038,96.262,80.756485,91.466225,-4.795775329589844
CZ0AKOB,CZ,14.4676,50.1222,57.109,59.20563,46.757362,-10.351637634277346
CZ0ALIB,CZ,14.4459,50.0073,59.976,57.050472,53.72956,-6.246439147949218
CZ0ARIE,CZ,14.4427,50.0815,52.711,57.050472,53.72956,1.0185608520507827
CZ0ASTO,CZ,14.3314,50.0461,56.03,58.797153,51.419807,-4.61019256591797
CZ0ASUC,CZ,14.3846,50.1265,57.322,63.540478,53.31002,-4.011979553222659
CZ0BBDN,CZ,16.6163,49.2027,48.69,68.59602,43.360855,-5.329144897460935
CZ0BBNY,CZ,16.6962,49.149,52.986,61.76733,48.08228,-4.9037207946777315
CZ0BMIS,CZ,16.7245,48.7918,63.292,66.86389,57.3711,-5.92089862060547
CZ0CCBD,CZ,14.4657,48.9844,53.169,63.265682,46.806206,-6.362794250488278
CZ0CCHU,CZ,13.6148,49.0684,74.792,72.94877,75.94669,1.1546934204101547
CZ0CHVO,CZ,14.7234,48.7242,70.815,70.83425,62.017193,-8.797807159423826
CZ0CKOC,CZ,13.8375,49.4673,67.112,66.88213,62.265293,-4.846706878662104
CZ0CPRA,CZ,14.0004,49.0161,62.653,68.204956,56.94676,-5.706241729736327
CZ0EPAU,CZ,15.7635,50.024,55.014,62.964573,56.027786,1.0137862548828096
CZ0ESVR,CZ,16.0342,49.7351,71.825,72.067566,68.6287,-3.1962997436523466
CZ0HHKO,CZ,15.8384,50.1776,60.842,64.12183,59.165173,-1.6768274230957019
CZ0HKRY,CZ,15.8501,50.6604,73.589,71.03622,73.200745,-0.38825537109374864
CZ0JKMY,CZ,15.439,49.1592,65.491,68.24192,60.308582,-5.1824176940917965
CZ0JKOS,CZ,15.0803,49.5734,66.361,68.08138,62.640648,-3.7203521118164105
CZ0KPRB,CZ,12.6154,50.3725,70.199,70.7318,63.71528,-6.483721374511717
CZ0KSOM,CZ,12.6728,50.1728,58.463,66.23593,56.989906,-1.4730936889648447
CZ0LSOU,CZ,15.3197,50.7896,61.018,71.35188,61.28221,0.2642113037109368
CZ0MPRR,CZ,17.4542,49.4517,52.594,64.53615,46.25333,-6.340669769287111
CZ0PPLL,CZ,13.3682,49.7701,57.01,61.292294,45.17979,-11.830209503173826
CZ0PPLV,CZ,13.4234,49.7686,54.282,62.245083,46.686504,-7.595495635986325
CZ0PPRM,CZ,12.6779,49.6696,67.312,67.921585,55.818584,-11.493415557861326
CZ0SKLM,CZ,14.1018,50.1439,61.799,65.325264,55.16304,-6.635959838867187
CZ0SMBO,CZ,14.9139,50.4286,51.671,62.31307,56.309093,4.6380934753417975
CZ0SONR,CZ,14.7826,49.9135,67.864,67.41532,61.368313,-6.495687164306645
CZ0TBKR,CZ,18.5386,49.5026,68.433,72.01714,68.89845,0.46545275878905557
CZ0TCER,CZ,17.5419,49.7771,73.193,72.36546,69.61201,-3.5809928588867166
CZ0TOFF,CZ,18.2637,49.8392,53.888,61.961784,48.208183,-5.679816711425779
CZ0TSTD,CZ,18.0893,49.7209,50.293,64.01381,43.455982,-6.837017791748046
CZ0TTRO,CZ,18.6778,49.6681,56.668,67.2051,52.870716,-3.797283905029296
CZ0ULOM,CZ,13.6734,50.5858,48.902,61.420265,49.617268,0.7152676086425771
CZ0ULTT,CZ,14.1194,50.5409,51.838,64.15072,49.86682,-1.971178710937501
