Country,RMSE_Raw,RMSE_Corrected,MAE_Raw,MAE_Corrected,Bias_Raw,Bias_Corrected,R2_Raw,R2_Corrected,N
NO,6.101189119616215,1.432563488368366,5.691116424560548,1.1911989196777342,5.691116424560548,-0.5211165466308586,0.7198786186762032,0.9123994358703732,5
CY,13.387644409179686,2.5877405395507793,13.387644409179686,2.5877405395507793,-13.387644409179686,-2.5877405395507793,,,1
SE,8.627849629790934,2.9149514122829454,7.500785008021764,2.1179837588355657,6.5356959809802815,1.0005291951497395,0.08915460003364659,0.7528010055088928,21
NL,5.7715719263932055,3.131498415545774,4.752821380615234,2.5520443944931026,3.6073398971557618,-2.0585788106918335,0.28634719352230276,0.6405630022599881,32
FI,4.581924732230729,3.257867814332348,3.567536661783855,2.660694407145184,1.6991005249023416,0.8694992370605448,0.033275319054968215,0.5123203767893708,3
EE,8.847175676768913,3.552903324971548,7.8200671508789075,3.0841838928222645,7.8200671508789075,0.1058787658691415,0.6987668969293213,0.7948245739773986,5
BE,9.976172138217022,3.652798379714109,8.854161431563528,2.4725157406455587,8.639911842747738,-0.49073591694078994,0.19451890663992233,0.6185294391710768,19
DE,10.743915764814641,3.8871421590939725,9.45522816093013,2.950579985708561,9.08983974413602,-0.6953701635396704,0.3955049322308666,0.7649958665103731,212
IE,9.047433614406431,3.912465497960827,7.43041389465332,3.4368004531860343,7.0188258972167965,-0.05297528839111365,0.3594237840125603,0.6357573332526292,8
CZ,9.002057079031797,4.153919216011875,7.466108389211254,3.3338342377418693,7.032978245225062,-2.119323986674464,0.5246573951460203,0.8245122691646997,43
SK,3.0979409790039085,4.383431854248045,3.0979409790039085,4.383431854248045,3.0979409790039085,-4.383431854248045,,,1
FR,12.476426291394015,4.436158431750121,10.761280609445471,3.2113804046001633,10.186806250188768,0.0511164656177008,0.27590525341340916,0.7069737804753599,194
PL,12.57530398109668,4.528878856081982,11.9840512727778,3.654648107001121,11.452874395492227,-1.6547736017754726,0.23505353368229756,0.5638165646781885,47
CH,14.012049998027448,6.224872498954772,12.746735013961793,4.586003614425659,8.53725033378601,1.3079436359405512,0.03604672728593226,0.6850672613015607,16
AT,14.820714610719234,6.4937680746550255,12.556632918054916,4.346093298698874,9.10913224738626,1.3989156354118795,0.12167984628050563,0.7525184846594454,85
GR,7.291849485005667,7.021732124957339,6.817012278238934,7.000237141927083,-4.537954538981121,1.905189941406249,0.7985224144283873,0.9005387962759411,3
ES,10.809961682793393,7.269977402749208,8.684992851204706,5.682066386676657,5.504795609362372,-1.8576816471494473,0.2856664677670302,0.6345350496573097,145
HU,14.004540924534997,8.298752640996094,12.870433044433595,6.486359143938338,12.870433044433595,-4.674633244105747,0.48862516350300567,0.25000123294782045,7
BG,25.02987007456645,8.357760296015305,23.42345222889293,7.0164950422807175,23.42345222889293,0.39248035500266226,0.10587727581024169,0.04804901182808525,11
IT,18.842854541952786,8.565469818641372,16.787464626289413,5.7257022176959556,15.229362079551834,1.2952297262774257,0.22325565989212146,0.5557351365989343,167
LU,12.143392794784505,8.870446833442085,9.555845550537109,8.624637092590332,9.555845550537109,4.163783363342285,0.7667387378466611,0.20869913290479392,4
PT,11.359532657329348,9.368053085867993,8.903737097489207,8.533532102885998,5.238848734002364,-7.272884070145457,0.04968291351990136,0.5840212652830564,19
RS,10.471016784667967,9.678691009521486,10.471016784667967,9.678691009521486,10.471016784667967,-9.678691009521486,,,1
LT,11.62492741885236,11.315655696432135,8.811722267150879,10.540407608032227,5.794480186462403,-7.822975296020507,0.3592296602889274,0.07609917570949197,4
TR,25.867963066360424,21.03589748727034,21.025871008300783,15.189587234497072,21.025871008300783,-1.9312445465087884,0.003860678562235691,0.08957672899509467,10
AD,32.99854272619708,24.779487763667483,24.016,24.016,22.630412414550783,6.103667572021486,,,2
