Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AD0942A,AD,1.5391,42.5097,23.917,0.33460486,25.264273,1.3472726898193343
AT0ENK1,AT,13.6709,48.3916,8.715,5.7195306,6.9280157,-1.78698429107666
AT0KLH1,AT,15.9563,46.7672,7.011,4.395337,5.5327635,-1.4782365188598634
AT0PIL1,AT,15.936,48.7212,6.956,3.0046813,6.325111,-0.6308890876770024
AT0VOR1,AT,12.9746,46.6777,2.683,1.4228147,10.532705,7.849705307006836
AT0ZOE2,AT,14.4409,47.8383,3.037,1.8622466,5.9021945,2.8651944999694825
AT10003,AT,17.0703,48.1092,12.214,11.9573145,11.444735,-0.7692654266357426
AT2KA71,AT,14.2991,46.6266,16.875,7.825537,14.603925,-2.2710752487182617
AT2SP10,AT,13.1945,46.935,10.194,0.8544101,8.2330065,-1.9609935226440438
AT2SP18,AT,13.4939,46.8014,16.478,3.400433,9.516312,-6.961688354492189
AT2WO35,AT,14.8917,46.7083,7.908,4.890128,6.972296,-0.9357037620544437
AT30065,AT,16.1434,48.1955,13.583,5.7449613,11.292222,-2.2907779769897463
AT30101,AT,14.8788,48.1199,15.595,8.6647215,13.499033,-2.0959670257568366
AT30201,AT,16.2057,47.9592,8.94,9.020269,7.55762,-1.3823799514770503
AT30202,AT,15.9189,48.1051,5.606,7.120208,4.9743204,-0.631679588317871
AT30301,AT,16.9579,48.1442,11.195,6.028957,10.430197,-0.7648032379150393
AT30302,AT,16.6753,48.05,8.067,5.9438763,8.279447,0.2124466018676756
AT30401,AT,16.7294,48.3347,9.092,4.5044007,8.688099,-0.4039010925292974
AT30403,AT,16.522,48.3929,9.347,5.1466737,8.030136,-1.316863891601562
AT30407,AT,16.6363,48.2307,9.374,4.7260056,8.921297,-0.45270292663574274
AT30502,AT,15.0467,48.8786,4.178,2.7651303,7.372251,3.194251033782959
AT30601,AT,16.3139,48.3025,9.192,8.24118,9.8904505,0.6984504776000975
AT31204,AT,15.205,48.2128,11.606,5.1578703,8.655039,-2.950961166381836
AT31401,AT,16.301,48.0856,12.534,10.557002,12.395862,-0.13813837432861398
AT31502,AT,15.86,47.6703,3.599,2.430448,4.0603404,0.46134040451049785
AT31701,AT,15.5455,48.3704,7.458,4.2617364,7.894533,0.43653315734863263
AT31901,AT,16.0625,48.3294,12.581,6.580278,12.360909,-0.22009053802490186
AT32301,AT,15.6325,48.2116,14.121,7.5778894,12.323979,-1.7970206222534184
AT32401,AT,16.255,47.8142,12.587,7.236125,11.122942,-1.4640580291748044
AT32501,AT,15.6192,48.4086,13.489,4.955329,11.842408,-1.6465918197631844
AT32604,AT,14.7723,48.0451,8.878,4.1439986,8.381078,-0.4969222335815431
AT32701,AT,16.4759,48.1456,14.079,15.871045,18.598063,4.519062515258788
AT4S108,AT,14.5747,48.5311,4.169,3.042127,4.5276303,0.3586303291320805
AT4S125,AT,13.6322,47.7161,10.235,2.3174148,6.99331,-3.2416900253295893
AT4S184,AT,14.2975,48.3061,20.101,7.478599,12.1147175,-7.986282516479491
AT4S404,AT,14.2376,48.2253,17.788,16.840702,18.14108,0.35308085632324193
AT4S406,AT,14.0366,48.1649,18.395,12.0474,15.762368,-2.632631797790527
AT4S409,AT,14.4424,48.0493,12.462,5.7875457,10.651407,-1.8105927581787107
AT4S416,AT,14.3148,48.2733,21.712,23.244534,26.883022,5.17102230834961
AT51066,AT,13.0433,47.8056,17.446,8.60203,15.783446,-1.662553688049318
AT52100,AT,13.1051,47.6668,8.38,5.5733395,11.279793,2.8997927856445305
AT53055,AT,13.0158,47.9367,5.484,5.443513,5.0337706,-0.45022943878173827
AT54057,AT,13.2056,47.3514,16.219,1.754837,8.224127,-7.994873184204103
AT55032,AT,13.808,47.1257,11.693,1.3687888,12.58556,0.8925598449707035
AT56072,AT,12.7951,47.3266,12.605,1.7643654,12.054339,-0.5506605911254887
AT60106,AT,15.0867,47.0633,13.948,3.5229564,1.7943362,-12.153663800239563
AT60107,AT,15.1528,47.0447,13.563,4.7780538,8.388626,-5.174373901367188
AT60118,AT,14.6767,47.1781,9.923,3.0224924,8.659803,-1.2631966094970704
AT60138,AT,15.4151,47.0944,16.054,15.773948,18.443945,2.389944931030275
AT60139,AT,15.4044,47.0694,19.939,15.773948,18.443945,-1.4950550689697266
AT60142,AT,15.0741,47.3753,13.169,8.479659,17.461788,4.292788177490234
AT60145,AT,15.2903,47.4458,14.179,6.0915575,15.793039,1.6140393218994138
AT60170,AT,15.4331,47.0417,22.091,15.773948,18.443945,-3.6470550689697276
AT60172,AT,15.4319,47.0692,21.605,15.773948,18.443945,-3.161055068969727
AT60179,AT,15.9719,47.2829,13.916,4.9284296,11.14163,-2.774369827270508
AT60180,AT,15.2533,47.4094,11.158,6.0915575,15.793039,4.635039321899415
AT60194,AT,15.6731,47.6047,12.656,1.8085971,5.9745054,-6.681494575500489
AT60195,AT,15.2128,46.8139,11.085,4.8718863,7.8824167,-3.2025832748413094
AT60197,AT,15.5406,46.7783,15.276,9.105052,13.350683,-1.9253167877197264
AT60198,AT,16.079,47.0474,12.578,5.2240376,9.584229,-2.993770530700683
AT72110,AT,11.3924,47.2626,24.88,14.176997,18.724806,-6.155194168090819
AT72113,AT,11.3747,47.2699,13.178,14.176997,18.724806,5.546805831909179
AT72227,AT,11.5125,47.2781,24.136,7.8241935,20.980434,-3.15556558227539
AT72530,AT,12.0666,47.4886,19.012,6.871577,15.778326,-3.233673965454102
AT72538,AT,11.91,47.4587,12.361,6.1655073,10.887043,-1.4739570007324225
AT72552,AT,12.1724,47.5818,15.705,8.062838,13.808247,-1.896753387451172
AT72710,AT,10.7441,47.4476,10.992,2.2716267,9.455387,-1.5366128845214853
AT72912,AT,12.766,46.8191,11.239,2.713531,8.712816,-2.5261837615966805
AT80503,AT,9.9267,47.5292,3.728,3.1596618,3.1974118,-0.530588224411011
AT900KE,AT,16.4761,48.1567,19.45,15.871045,18.598063,-0.8519374847412102
AT900ZA,AT,16.3571,48.249,13.583,13.85946,15.86752,2.2845203323364256
AT90AKC,AT,16.3498,48.2191,16.528,13.85946,15.86752,-0.6604796676635729
AT90FLO,AT,16.397,48.2611,19.288,13.85946,15.86752,-3.4204796676635745
AT90LOB,AT,16.5256,48.1621,10.569,8.98013,8.4876995,-2.0813004913330087
AT9BELG,AT,16.3614,48.1744,21.494,17.455778,19.355272,-2.1387277069091795
AT9GAUD,AT,16.3393,48.1871,21.316,17.455778,19.355272,-1.9607277069091786
AT9JAEG,AT,16.2972,48.2702,7.759,7.7937403,9.984119,2.225119415283203
AT9KEND,AT,16.3098,48.205,17.136,13.85946,15.86752,-1.2684796676635735
AT9LIES,AT,16.3001,48.1412,16.115,17.455778,19.355272,3.240272293090822
AT9SCHA,AT,16.3016,48.2354,10.052,13.85946,15.86752,5.815520332336426
AT9STAD,AT,16.4583,48.2264,18.102,11.974077,16.327133,-1.7748668212890628
BETB004,BE,4.3478,50.8521,23.375,22.529106,19.38726,-3.9877395629882812
BETB006,BE,4.3744,50.8386,25.479,22.529106,19.38726,-6.0917395629882805
BETB011,BE,4.2887,50.8578,13.867,16.036966,14.451988,0.5849882202148429
BETMEU1,BE,4.3957,50.895,18.379,22.529106,19.38726,1.0082604370117174
BETN016,BE,5.164,51.2337,12.544,9.769229,12.342207,-0.2017930450439458
BETN027,BE,5.6067,51.1337,11.396,8.613961,11.063212,-0.3327876052856453
BETN029,BE,2.5823,51.0163,9.581,8.933343,10.305512,0.7245124282836919
BETN035,BE,4.8376,50.9776,10.898,10.207524,13.202276,2.3042762298583988
BETN040,BE,4.2252,50.7681,10.089,12.850913,10.650346,0.5613458023071285
BETN052,BE,3.3225,50.8149,14.139,12.345393,16.88566,2.7466601715087897
BETN054,BE,5.1032,50.7117,9.96,7.2746315,11.480888,1.520888366699218
BETN060,BE,3.4576,50.6167,10.025,12.351639,11.36965,1.3446498870849606
BETN066,BE,6.0023,50.6289,6.905,6.1070313,7.527898,0.6228978347778318
BETN070,BE,3.9397,50.4652,18.422,13.609421,19.790216,1.368216445922851
BETN073,BE,4.9884,50.5027,7.536,8.215792,8.090285,0.5542853012084965
BETN085,BE,6.0017,50.3032,5.27,4.2495294,5.1432214,-0.12677862167358356
BETN093,BE,5.2352,50.2745,7.547,5.2476053,7.160024,-0.386975833892822
BETN100,BE,4.5948,50.0957,4.957,4.302557,4.70781,-0.24919007492065415
BETN113,BE,5.593,50.027,5.166,3.975801,4.4223986,-0.7436014328002933
BETN121,BE,5.2024,49.8771,5.03,3.7748768,4.3405685,-0.6894314575195315
BETN132,BE,5.6304,49.7193,5.843,4.057014,5.2514606,-0.5915394477844238
BETR001,BE,4.3341,50.8497,25.091,22.529106,19.38726,-5.703739562988282
BETR012,BE,4.3586,50.7966,10.795,11.643797,15.566703,4.771702842712402
BETR020,BE,4.4367,50.9414,19.196,17.176048,17.637886,-1.5581139526367203
BETR221,BE,5.6278,50.6584,19.402,12.560344,16.776876,-2.62512355041504
BETR222,BE,5.5702,50.6134,16.265,14.907752,16.604906,0.33990608215331974
BETR501,BE,4.4522,50.4093,22.187,13.629844,20.624647,-1.5623528594970715
BETR502,BE,4.4587,50.429,18.916,13.629844,20.624647,1.7086471405029293
BETR801,BE,4.4318,51.2097,24.754,27.539095,17.495157,-7.258842758178712
BG0040A,BG,23.311,42.7323,24.281,8.5390005,21.007355,-3.273645263671874
BG0041A,BG,25.5935,42.0564,20.465,4.7676716,11.486066,-8.978934135437012
BG0043A,BG,23.5574,43.208,16.485,3.3485298,15.433947,-1.0510533905029291
BG0045A,BG,25.9641,43.8514,22.925,11.096633,29.365662,6.440661621093749
BG0050A,BG,23.2968,42.6806,30.591,6.703939,33.17264,2.5816417541503895
BG0051A,BG,24.7652,42.1429,7.108,7.779991,23.690596,16.582595626831054
BG0052A,BG,23.4002,42.6665,19.908,10.625846,31.386341,11.478341094970702
BG0057A,BG,25.6912,43.1265,18.733,3.2025902,13.913884,-4.8191158370971685
BG0058A,BG,23.0978,42.0019,16.959,5.1172943,17.310928,0.35192834472656287
